table	ˈteɪb(ə)l	n. 桌子，表格
tablet		
taboo		
tack		
tackle		
tact		
tactful		
tactic		
tag	tæg	n.附加语;标签
tail	teɪl	n. (动物的)尾巴
tailor	ˈteilə	n.裁缝vt.裁制衣服
take	teɪk	vt. 拿；拿走；做；服用；乘坐；花费
takeoff		
tale	teil	n.故事，传说
talent	ˈtælənt	n.天才;才能;人才
talented		
talk	tɔːk	vi.讲话vt.谈论
talkative		
tall	tɔːl	a. 高的
tame	teim	a.驯服的;顺从的
tan		
tangible		
tangle		
tank	tæŋk	n.坦克;大容器，槽
tanker		
tap	tæp	vt.&vi.&n.轻叩；n.塞子;龙头vt.开发
tape	teɪp	n. 磁带；录音带
target		
tariff		
task	tɑːsk; (US) tæsk	n. 任务, 工作
taste	teist	n.味觉，品味
tasty		
tax	tæks	n. 税金；重负；vt. 向…课税；使负重担
taxation		
taxi	ˈtæksɪ	n. 出租汽车
tea	tiː	n. 茶；茶叶 
teach	tiː tʃ	v. 教书,教
teacher	ˈtiːtʃə(r)	n. 教师，教员
teaching		
team	tiːm	n. 队，组
tear	teə(r)	n. 眼泪 v. 扯破, 撕开
tease	tiz	取笑；戏弄；梳理；欺负；强求；使起毛；戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
tech		
technical	ˈteknikəl	a.技术的，工艺的
technician	tekˌniʃən	n.技术员，技师
technique		
technological		
technology	tekˈnɔlədʒɪ	n. 技术
tedious	ˈtiːdiəs	a.冗长乏味的，沉闷的
teen		
teenager	ˈtiːneɪdʒə(r)	n.（13～19岁的）青少年，十几岁的少年
telecommunications		
telegram	ˈteligræm	n.电报
telephone	ˈtelɪfəun	v. 打电话 n. 电话
telescope	ˈteliskəup	n.望远镜
telescopic		
television	ˈtelɪviʒən	n. 电视
tell	tel	vt. 告诉,讲述,吩咐
teller		
telling		
temper		
temperament		
temperature	ˈtemprɪtʃə(r)	n. 温度
temple	ˈtempl	n.圣堂，神殿，庙宇
tempo		
temporal		
temporarily		
temporary	ˈtempərəri	a.暂时的，临时的
tempt	tempt	vt.引诱，诱惑;吸引
temptation	tempˌteiʃən	n.诱惑，引诱
ten	ten	num. 十
tenant		
tend	tend	vt.照管，照料，护理；vi.走向，趋向;倾向
tendency	ˈtendənsi	n.趋向，趋势，倾向
tender	ˈtendə	a.嫩的;脆弱的
tennis		
tense	tens	n.时态，时；a.拉紧的，绷紧的
tension	ˈtenʃən	n.紧张,不安,拉紧,张力
tent	tent	n. 帐篷
tentative		
tenure		
term	tɜːm	n. 学期;术语;条款;项
terminal	ˈtəːminl	a.末端的n.末端
terminate		
termination		
terrace		
terrain		
terrible	ˈterəbl	a.可怕的;极度的
terribly		
terrific		
terrify	ˈterɪfaɪ	vt. 使人感到恐怖
territorial		
territory	ˈteritəri	n.领土，版图;领域
terror	ˈterə	n.恐怖，惊骇
terrorism		
terrorist		
tertiary		
test	test	vt.& n. 测试, 考查，试验
testify		
testimony		
text	tekst	n. 文本，课文
textbook	ˈtekstbʊk	n. 课本，教科书
textile	ˈtekstail	n.纺织品a.纺织的
texture		
than	ðen, ðæn	conj. 比
thank	θæŋk	vt. 感谢，致谢，道谢 n.（复）感谢，谢意
thankful	ˈθæŋkfʊl	a. 感谢的，感激的
Thanksgiving		
that	ðæt	a.& pron.那，那个 conj. 那，那个 ad. 那么，那样
the		Pacific Ocean [ðə pəˈsɪfɪkˈəʊʃ (ə)n] 太平洋
theater		
theatrical		
theft	θɛft	盗窃；偷；赃物
their	ðeə(r)	pron. 他(她,它)们的
theirs	ðeəz	pron. 他（她,它）们的
them	ð(ə)m, ðem	pron. 他/她/它们（宾格）
theme		
themselves	ðəmˈselvz	pron. 他/她/它们自己
then	ðen	ad. 当时,那时,然后,那么
theoretical	θiəˌretikəl	a.理论(上)的
theory	ˈθɪri	n. 理论；原理；学说；推测
therapeutic		
therapist		
therapy		
there	ðeə(r)	int. 那!你瞧! n. 那里,那儿 ad. 在那里,往那里
thereby	ˈðeəˌbai	ad.因此，从而，由此
therefore	ˈðeəfɔː	ad.因此，所以
thermal		
thermometer	θəˌmɔmitə	n.温度计，寒暑表
these	ðiːz	a. & pron. 这些
thesis		
they	ðeɪ	pron. 他（她）们；它们
thick	θɪk	a. 厚的
thickness	ˈθiknis	n.厚(度);密(度)
thief	θiːf	n. 窃贼, 小偷
thigh		
thin	θɪn	a. 薄的；瘦的；稀的
thing	θɪŋ	n. 东西；(复)物品，用品；事情，事件
think	θɪŋk	v. 想；认为；考虑
thinking	ˈθɪŋkɪŋ	思考的；思想的；有理性的；好思考的；思考；思想；想法；意见；见解；思考（think的现在分词）
third	θəːd	num. 第三
thirst	θəːst	n. 渴；口渴
thirsty	ˈθəːstɪ	a. 渴
thirteen	θəːtiːn	num. 十三
thirty	ˈθəːtɪ	num. 三十
this	ðɪs	a.& pron.这，这个
thorn		
thorny		
thorough	ˈθʌrə	a.彻底的;详尽的
those	ðəʊz	a.& pron. 那些
though	ðəʊ	conj. 虽然，可是
thought	θɔːt	n. 思考,思想;念头
thoughtful	ˈθɔːtful	a.沉思的;体贴的
thousand	ˈθaʊzənd	num. 千
thread	θred	n.线;丝;螺纹;头绪
threat	θret	n.威胁，恐吓，凶兆
threaten	ˈθretn	vt.&vi.威胁，恐吓
three	θriː	num. 三
threshold		
thrift		
thrifty		
thrill		
thriller		
thrive	θraiv	vi.兴旺，繁荣，旺盛
throat	θrəut	n.咽喉，喉咙;嗓音
throne		
