sex		
sexual		
sexy		
shabby	ˈʃæbi	破旧的；卑鄙的；吝啬的；低劣的
shade		
shadow		
shady		
shaft		
shake	ʃek	动摇；摇动；震动；握手；摇动；哆嗦
shaky		
shall	ʃæl, ʃ(ə)l	v. aux.（表示将来）将要，会；…好吗
shallow		
shame	ʃeɪm	n. 羞耻，羞愧；憾事，带来耻辱的人；vt. 使丢脸，使羞愧
shameful		
shameless		
shape	ʃeɪp	n. 形状，外形 v. 使成型，制造，塑造
share	ʃeə(r)	vt. 分享，共同使用
shark	ʃɑrk	鲨鱼；骗子；诈骗
sharp	ʃɑːp	a. 锋利的，尖的
sharpen	ˈʃɑːpən	v.（使）变锐利，削尖
shatter		
shave		
shaver		
she	ʃiː	pron. 她
shed		
sheep	ʃiːp	n.（绵）羊；羊皮；驯服者
sheer		
sheet	ʃiːt	n. 成幅的薄片，薄板
shelf	ʃelf	n. 架子；搁板；格层；礁；陆架
shell		
shelter		
shepherd		
shield		
shift	ʃɪft	n. 移动；变化；手段；轮班；vt. 转移；改变；替换；vi. 移动；转变；转换
shine	ʃaɪn	n. 光泽；光彩；阳光；晴天；光(亮)
shiny		
ship	ʃɪp	n. 船，轮船 vi. 用船装运
shipment		
shipping		
shipyard		
shirt	ʃɜːt	n. 男衬衫
shit		
shiver		
shock	ʃɑk	n. 休克；震惊；震动；打击；禾束堆；adj. 浓密的；蓬乱的；vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆；vi. 感到震惊；受到震动；堆成禾束堆
shoe	ʃuː	n. 鞋
shoot	ʃuːt	(shot, shot) vt. 射击，射中，发射
shop	ʃɔp	vi. 买东西 n. 商店,车间
shopping	ˈʃɔpɪŋ	n. 买东西
shore	ʃɔː(r)	n. 滨，岸
short	ʃɔːt	a. 短的；矮的
shortage	ˈʃɔːtɪdʒ	n. 缺乏，缺少；不足
shortcoming		
shorthand		
shortly		
shorts		
shot	ʃɔt	n. 射击，开枪，开炮，射击声；子弹
should	ʃud	v. mod. 应当，应该，会 v. aux. 会,应该（shall的过去时态）
shoulder	ˈʃoʊldər	n. 肩，肩膀；肩部；vi. 用肩推挤，用肩顶；vt. 肩负，承担
shout	ˈʃaut	n.& v. 喊，高声呼喊
shove		
show	ʃəʊ	n. 展示,展览（会）;演出
showcase		
shower	ˈʃaʊə(r)	n. 阵雨；淋浴
showy		
shred		
shrewd		
shrimp		
shrink		
shrub		
shrubbery		
shrug		
shut	ʃʌt	v. / n. 关上，封闭；禁闭；
shuttle	ˈʃʌtl	航天飞机；穿梭；梭子；穿梭班机、公共汽车等；使穿梭般来回移动；短程穿梭般运送
shy	ʃaɪ	a. 害羞的
shyly		
shyness		
sick	sɪk	a. 有病,患病的,（想）呕吐
sicken		
side	said	n. 边，旁边，面，侧面
sideways		
siege		
sigh		
sight		
sightseeing		
sign	sain	n. 符号，标记
signal		
signature		
significance		
significant	səɡˈnɪfɪkənt	n. 象征；有意义的事物；adj. 重大的；有效的；有意义的；值得注意的；意味深长的
signify		
silence	ˈsailəns	n. 安静，沉默
silent		ˈsailənt] a. 无声的，无对话的
silicon		
silk	silk	n.（蚕）丝，丝织品
silky		
silver		
silvery		
similar		
similarity	ˌsɪməˈlɛrəti	n. 类似；相似点
simple	ˈsimp(ə)l	a. 简单的，简易的
simplicity		
simplify	ˈsɪmplɪfaɪ	简化；使单纯；使简易
simply	ˈsɪmpli	adv. 简单地；仅仅；简直；朴素地；坦白地
simulate		
simulation		
simultaneous		
sin		
since	sins	ad. 从那时以来 conj. 从…以来，…以后，由于 prep. 从…以来
sincere	sɪnˈsɪr	adj. 真诚的；诚挚的；真实的
sincerity		
sing	siŋ	v. 唱，唱歌
singer	siŋə	n. 歌唱家，歌手
single	ˈsiŋɡ(ə)l	a. 单一的，单个的
singular		
singularity		
sinister		
