materialism	1		n.唯物主义
mathematical	2		a.数学(上)的
matter	2		n.事情；物质 vi.要紧
mature	1		a.成熟的 vt.使成熟
maximum	1	magn	n.最大量 a.最大的
mayor	2	magn	n.市长
meadow	1		n.草地，牧草地
means	2		n.方法，手段，工具
meantime	2		n.其时/间 ad.当时
meanwhile	2		ad.同时，当时
measurable	1		a.可测量的
measure	2		vt.量，测量 n.分量
measurement	2		n.衡量,测量；尺寸
mechanic	1		n.技工，机械，机修工
mechanical	2		a.机械的；力学的
mechanically	1		ad.机械地
mechanics	1		n.力学；技术性细节
medal	1		n.奖章，勋章，纪念章
medical	2		a.医学的；内科的
medicine	2		n.内服药；医学
Mediterranean	1	med	n.地中海 a.地中海的
medium	1	med	n.媒质；中间 a.中等的
melt	2		vi.融化 vt.使融化
member	2		n.成员，会员
memorial	1	memor	a.纪念的；记忆的
memory	2	memor	n.记忆；回忆；存储
mend	2		vt.修理，修补，缝补
mental	2	ment	a.智力的；精神的
mention	2	ment	vt.&n.提及，说起
menu	2		n.菜单；饭菜，菜肴
merchant	1		n.商人；零售商
mercury	1		n.水银，汞
mercy	1		n.仁慈，慈悲，恩惠
mere	1		a.仅仅的；纯粹的
merely	2		ad.仅仅，只不过
merit	1		n.长处，优点；功过
mess	2		n.混乱，混杂，肮脏
message	2	mit	n.信息，消息；启示
messenger	1	mit	n.送信者，信使
metal	2		n.金属，金属制品
meter	1	meter	n.计量器，计，表
method	2		n.方法，办法；教学法
metre	1	meter	n.米，公尺
metric	1	meter	a.公制的，米制的
microcomputer	1	micro	n.微型计算机，微机
microphone	1	micro	n.话筒，麦克风
microscope	1	micro	n.显微镜
midday	2		n.正午，中午
midst	1		n.中部，中间，当中
mild	2		a.和缓的；温柔的
mile	2		n.英里
military	1	milit	a.军事的；军人的
mill	1		n.磨坊；制造厂
millimetre	1	meter	n.毫米
miner	2		n.矿工
mineral	1		n.矿物 a.矿物的
minimum	1	min	n.最小量 a.最小的
minister	1	min	n.部长，大臣；公使
ministry	1	min	n.(政府的)部
minor	1	min	a.较小的；较次要的
minority	1	min	n.少数；少数民族
minus	1	min	a.负的 prep.减(去)
miracle	1		n.奇迹，令人惊奇的人
mirror	2		n.镜子 vt.反映，反射
miserable	1		a.痛苦的，悲惨的
mislead	1		vt.使误入岐途
missile	1	mit	n.发射物；导弹
missing	2		a.缺掉的，失去的
mission	2	mit	n.使命，任务；使团
mist	2		n.薄雾
mistress	1		n.女主人；夫人
misunderstand	2		vt.误解/会,曲解
mixture	1		n.混合；混合物
moan	1		n.呻吟声 vi.呻吟
mobile	1	mob	a.运动的；流动的
mode	2		n.方式，样式
model	2		n.模型；模式；模特儿
moderate	1		a.温和的；有节制的
modern	2		a.现代的，近代的
modest	1		a.有节制的；谦虚的
modify	1		vt.更改，修改；修饰
moist	1		a.湿润的；多雨的
moisture	1		n.潮湿，湿气；温度
molecule	1		n.分子，克分子
moment	2	mob	n.片刻，瞬间，时刻
monitor	1	mon	n.班长；监视器
monument	1	mon	n.纪念碑；纪念馆
mood	2		n.心情，情绪；语气
moral	1		a.道德的；合乎道德的
moreover	2		ad.再者，加之，此外
mortal	1	mor	a.终有一死的；致死的
mosquito	1		n.蚊子
mostly	2		ad.主要的，大部分
motion	1	mob	n.运动；手势；提议
motivate	1	mob	vt.促动；激励，激发
motive	1	mob	n.动机，目的
motor	2	mob	n.发动机；机动车
mould	1		n.模子，模型 vt.浇铸
mount	1		vt.登上，爬上 n.…山
mountain	2		n.山，山岳；山脉
mourn	1		vi.哀痛，哀悼
mouthful	2		n.满口，一口，少量
movement	2	mob	n.动作,活动;移动
muddy	2		a.多泥的，泥泞的
mug	2		n.大杯
multiple	1		a.复合的；并联的
multiply	1		vt.使增加；乘
murder	2		n.&vi.谋杀，凶杀
murderer	2		n.杀人犯，凶手
muscle	1		n.肌肉，肌；体力
museum	1		n.博物馆；展览馆
mushroom	2		n.蘑菇，菌类植物
musical	2		a.音乐的；和谐的
musician	2		n.音乐家；作曲家
mute	1		a.缄默的 n.哑巴
mutter	1		vi.轻声低语；抱怨
mutton	2		n.羊肉
mutual	1		a.相互的；共同的
mysterious	1		a.神秘的；难以理解的
mystery	1		n.神秘；神秘的事物
naked	2		a.裸体的；无遮敝的
namely	2		ad.即，也就是
nap	1		n.小睡，打盹，瞌睡
nasty	1		a.龌龊的；淫猥的
nation	2	nat	n.民族；国家
national	2	nat	a.民族的；国家的
nationality	2	nat	n.国籍；民族，族
native	2	nat	a.本土的 n.本地人
natural	2	nat	a.自然界的；天然的
naturally	2	nat	ad.自然地；天然地
nature	2	nat	n.大自然；本性；性质
naughty	2		a.顽皮的，淘气的
naval	1	nav	n.海军的，军舰的
navigation	1	nav	n.航行;航海术;导航
navy	1	nav	n.海军
nearby	2		a.附近的 ad.在附近
neat	2		a.整洁的；熟练的
necessarily	1	ced	ad.必然，必定
necessary	1	ced	a.必要的；必然的
necessity	1	ced	n.必要性；必然性
