abandon	vt.丢弃；放弃，抛弃
aboard	ad.在船(车)上；上船
abroad	ad.(在)国外；到处
absence	n.缺席，不在场；缺乏
absent	a.不在场的；缺乏的
absorb	vt.吸收；使专心
abundant	a.丰富的；大量的
academic	a.学院的；学术的
accent	n.口音，腔调；重音
accommodate	vt.容纳;供应,供给
accommodation	n.招待设备；预定铺位
accompany	vt.陪伴，陪同；伴随
account	n.记述；解释；帐目
achieve	vt.完成，实现；达到
achievement	n.完成；成就/绩
acid	n.酸；酸的，酸性的
acute	a.尖的，锐的；敏锐的
adapt	vt.使适应；改编
addition	n.加，加法；附加物
address	n.地址；演说；谈吐
administration	n.管理；管理部门
adult	n.成年人 a.成年的
advance	vi.前进；提高 n.进展
advantage	n.优点，优势；好处
afford	vt.担负得起…；提供
agriculture	n.农业，农艺；农学
aid	n.帮助，救护；助手
aim	vi.瞄准，针对；致力
alarm	n.惊恐，忧虑；警报
alcohol	n.酒精，乙醇
alloy	n.合金；(金属的)成色
aloud	ad.出声地，大声地
alphabet	n.字母表，字母系统
altitude	n.高，高度；高处
altogether	ad.完全；总而言之
aluminium	n.铝
amaze	vt.使惊奇，使惊愕
ambition	n.雄心，抱负，野心
ambulance	n.救护车；野战医院
amount	n.总数；数量；和
amuse	vt.逗…乐；给…娱乐
ancient	a.古代的，古老的
angle	n.角，角度
annoy	vt.使恼怒；打搅
anxiety	n.焦虑，忧虑；渴望
anxious	a.忧虑的；渴望的
appeal	vi.&n.呼吁；申述
approach	vt.向…靠近 n.靠近
arbitrary	a.随心所欲的；专断的
argue	vi.争论，争辩，辩论
argument	n.争论，辩论；理由
arise	vi.出现；由…引起
arouse	vt.引起，唤起；唤醒
arrange	vt.筹备；整理；调解
arrest	vt.逮捕，拘留；阻止
assure	vt.使确信；向…保证
athlete	n.运动员；田径运动员
atmosphere	n.大气；空气；气氛
atom	n.原子；微粒；微量
attack	vt.&vi.&n.攻击，进攻
attempt	vt.尝试，试图 n.企图
attitude	n.态度，看法；姿势
author	n.作者，作家
authority	n.当局，官方；权力
average	n.平均数 a.平均的
award	n.奖，奖品；判定
awkward	a.笨拙的；尴尬的
baggage	n.行李
balance	vt.使平衡；称 n.天平
banner	n.旗，旗帜，横幅
barber	n.理发师
bare	a.赤裸的；仅仅的
bargain	n.交易 vi.议价；成交
barrel	n.桶；圆筒；枪管
barrier	n.栅栏，屏障；障碍
basis	n.基础，根据
beast	n.兽，野兽；牲畜
behalf	n.利益，维护，支持
behave	vi.表现，举止；运转
behavior	n.行为，举止，态度
being	n.存在；生物；生命
belief	n.信任，相信；信念
beloved	a.为…的爱的 n.爱人
bend	vt.使弯曲 vi.弯曲
beneath	prep.在…下方
bet	vt.&vi.&n.打赌
betray	vt.背叛；辜负；泄漏
bind	vt.捆绑；包扎；装钉
bitter	a.痛苦的；严寒的
blade	n.刀刃，刀片；叶片
blame	vt.责备，把…归咎于
blank	a.空白的 n.空白
blast	n.爆炸，冲击波 vt.炸
blaze	n.火；闪光 vi.燃烧
bleed	vi.出血，流血；泌脂
blend	vt.&vi.&n.混和
bless	vt.为…祝福
bloom	n.花；开花，开花期
blossom	n.花，开花 vi.开花
boast	vi.自夸 vt.吹嘘
bold	a.大胆的；冒失的
bond	n.联结，联系；公债
border	n.边，边缘；边界
bore	vt.使厌烦；钻，挖
bosom	n.胸，胸部；内心
bough	n.树枝
bounce	vi.反跳，弹起；跳起
bound	a.一定的；有义务的
boundary	n.分界线，办界
brake	n.闸，刹车 vi.制动
brand	n.商品；烙印 vt.铭刻
breadth	n.宽度，幅度；幅面
breast	n.乳房；胸脯，胸膛
breed	n.品种 vt.使繁殖
breeze	n.微风，和风
brilliant	a.光辉的；卓越的
brim	n.边，边缘；帽沿
brisk	a.活泼的；清新的
bristle	n.短而硬的毛；鬃毛
British	a.不列颠的，英联邦的
