disgust	n.厌恶，憎恶
distinct	a.与其他不同的
distinction	n.差别，不同，区分
distinguish	vt.区别，辨别，认别
doubtful	a.难以预测的；怀疑的
draft	n.草稿；汇票 vt.起草
drain	vt.排去；放水 n.耗竭
dramatic	a.引人注目的，戏剧的
drift	vi.漂流，漂泊 n.漂流
due	a.预期的；应给的
eager	a.渴望的，热切的
earnest	a.认真的，诚恳的
elastic	n.松紧带 a.有弹性的
electricity	n.电，电学；电流
element	n.成分；要素；元素
eliminate	vt.消灭，消除，排除
embarrass	vt.使窘迫，使为难
embrace	vt.拥抱；包括；包围
emphasis	n.强调，重点，重要性
emphasize	vt.强调，着重
encounter	vt.遭遇，遇到 n.遭遇
engage	vt.使从事于；聘用
enthusiasm	n.热情/心，热忱
entire	a.全部的，整个的
entry	n.入口处；登记；进入
environment	n.环境，外界；围绕
equipment	n.装备，设备，配备
era	n.时代，年代；纪元
essay	n.短文，散文，小品文
essential	a.必要的，本质的
estimate	vt.估计，评价 n.估计
evil	n.邪恶；祸害 a.坏的
exaggerate	vt.&vi.夸大，夸张
exchange	vt.交换；交流 n.交换
exert	vt.尽(力)，运用
exhaust	vt.使筋疲力尽；用尽
experiment	n.实验；试验
experimental	a.实/试验的
expert	n.专家 a.熟练的
explanation	n.解释,说明;辩解
explode	vt.使爆炸 vi.爆炸
explore	vt.&vi.探险，探索
explosion	n.爆炸，爆发，炸裂
express	vt.表示 n.快车，快递
exterior	a.外部的；对外的
external	a.外部的，外面的
extreme	a.极度的；尽头的
fabric	n.织物，纺织品；结构
failure	n.失败；失败的人
faint	a.微弱的；虚弱的
familiar	a.熟悉的；冒昧的
famine	n.饥荒；严重的缺乏
fancy	n.想象力；设想；爱好
fare	n.车费，船费，票价
farewell	int.再会 n.告别
fatal	a.致命的；命运的
fate	n.命运，天数
fault	n.缺点；过失；故障
favour	n.好感；赞同；恩惠
fearful	a.害怕的，可怕的
feast	n.盛宴，筵席；节日
fee	n.费，酬金；赏金
feeble	a.虚弱的；微弱的
feedback	n.回授，反馈，反应
female	n.雌性的动物；女子
fever	n.发热，发烧；狂热
fierce	a.凶猛的，狂热的
file	n.档案 vt.把…归档
filter	vt.过滤 n.滤纸
flame	n.火焰；光辉；热情
flash	n.闪光 vi.闪，闪烁
flavour	n.味，味道；风味
flesh	n.肉，肌肉；肉体
flight	n.航班；飞行；逃跑
focus	vi.聚焦，注视 n.焦点
fond	a.喜爱的；溺爱的
forbid	vt.禁止，不许；阻止
forecast	n.预测，预报 vt.预示
foreign	a.外国的；外来的
forgive	vt.原谅，饶恕，宽恕
fortunate	a.幸运的，侥幸的
fortune	n.命运，运气；财产
frame	n.框架，框子；构架
framework	n.框架，构架，结构
freedom	n.自由；自主
freight	n.货运；货物；运费
frequency	n.屡次；次数；频率
frequent	a.时常发生的；经常的
fresh	a.新的；新鲜的
friction	n.摩擦，摩擦力
frost	n.冰冻，严寒；霜
frown	vi.皱眉，蹙额
fuel	n.燃料 vt.给…加燃料
fulfil	vt.履行；满足；完成
function	n.功能；职务；函数
funeral	n.葬礼，丧礼，丧葬
furious	a.狂怒的；狂暴的
furnish	vt.供应，提供；装备
furniture	n.家具；装置，设备
further	ad.更远地 a.更远的
furthermore	ad.而且，此外
future	n.将来，未来；前途
gain	vt.获得；增加 n.增进
gap	n.缺口；间隔；差距
garbage	n.垃圾，污物，废料
gaze	vi.凝视，盯，注视
germ	n.微生物，细菌，幼芽
gesture	n.姿势，手势；姿态
glimpse	vt.瞥见 n.一瞥，一看
gloomy	a.黑暗的；令人沮丧的
glorious	a.光荣的；壮丽的
glory	n.光荣；荣誉的事
govern	vt.统治，治理；支配
government	n.政府；治理；政治
governor	n.州长；主管人员
grant	n.授给物 vt.授予
grasp	vt.抓紧；掌握 n.抓
grip	vt.握紧，抓牢 n.紧握
gross	a.总的；严重的
growth	n.增长；增长量；生长
