guarantee	n.保证；担保物
guidance	n.引导，指导，领导
guilty	a.内疚的；有罪的
gulf	n.海湾
halt	vi.停止；立定 n.停住
handle	n.柄，把手 vt.拿，触
handy	a.手边的；便于使用的
harbour	n.海港，港口 vt.庇护
hardly	ad.几乎不，简直不
hardship	n.艰难，困苦
hardware	n.五金器具；硬件
harm	n.伤害，损害 vt.损害
harmony	n.调合，协调，和谐
harness	vt.治理 n.马具，挽具
harsh	a.严厉的；刺耳的
harvest	n.收获，收成 vt.收割
haste	n.急速，急忙；草率
hasten	vt.催促 vi.赶紧
hatred	n.憎恶，憎恨，仇恨
hay	n.干草
hazard	n.危险；公害
heading	n.标题，题词，题名
headline	n.大字标题；新闻提要
headmaster	n.校长
headquarters	n.司令部；总部
heal	vt.治愈；使和解
heating	n.加热，供暖
heaven	n.天堂；天，天空
heavily	ad.重重地；大量地
hedge	n.篱笆，树篱；障碍物
height	n.高，高度；高处
heir	n.后嗣，继承人
helicopter	n.直升机
hell	n.地狱；极大的痛苦
helpless	a.无助的；无能的
hen	n.母鸡，雌禽
hence	ad.因此，所以；今后
hero	n.男主角；英雄；勇士
heroic	a.英雄的；英勇的
heroine	n.女主角；女英雄
highly	ad.高度地，很，非常
hillside	n.(小山)山腰，山坡
hint	n.暗示，示意；建议
hire	vt.租借 n.租用，雇用
historical	a.历史的，有关历史的
history	n.历史；个人经历
hobby	n.业余爱好，癖好
hollow	a.空的；空洞的
holy	a.神圣的；圣洁的
honest	a.诚实的；可敬的
honesty	n.诚实，正直
honeymoon	n.蜜月
honour	n.光荣；尊敬，敬意
honourable	a.诚实的；光荣的
hook	n.钩，挂钩 vt.钩住
hopeful	a.有希望的
hopeless	a.没有希望的，绝望的
horizon	n.地平线；眼界，见识
horizontal	a.地平的；水平的
horn	n.号角；警报器；角
household	n.家庭，户；家务
idle	a.空闲的；懒散的
image	n.像；形象；映象
imagination	n.想象(力)；空想
imagine	vt.想象，设想；料想
imitate	vt.模仿，仿效；仿制
impact	n.影响，作用；冲击
impress	vt.给…深刻印象
impression	n.印；印象；印记
impressive	a.给人印象深刻的
inevitable	a.不可避免的，必然的
inferior	a.下等的；劣等的
inherit	vt.继承(传统等)
innocent	a.清白的，幼稚的
insert	vt.插入; 嵌入; 登载
install	vt.安装，设置
instinct	n.本能；直觉；生性
interior	a.内的；内地的 n.内部
internal	a.内的；国内的
interpret	vt.解释，说明；口译
interval	n.间隔；休息；间距
intimate	a.亲密的；个人的
investigate	vt.&vi.调查
investigation	n.调查，调查研究
invitation	n.邀请，招待；请柬
invite	vt.邀请，聘请；招待
issue	n.问题；发行 vt.发行
jealous	a.妒忌的；猜疑的
journal	n.日报，杂志；日志
journalist	n.记者，新闻工作者
junior	a.年少的 n.晚辈
keen	a.热心的；激烈的
label	n.标签；标记，符号
lack	vi.&vi.&n.缺乏，不足
lag	vi.走得慢 n.落后
latter	a.(两者中)后者的
launch	vt.发射，投射；发动
layout	n.布局，安排，设计
leadership	n.领导
leading	a.指导的；最主要的
leak	vi.漏；泄露 n.漏洞
leap	vi.跳，跃 n.跳跃
leisure	n.空闲时间；悠闲
lessen	vt.减少，减轻；缩小
lest	conj.惟恐，以免
librarian	n.图书馆馆长
license	n.许可；执照 vt.准许
limb	n.肢，臂，翼；树枝
limit	n.限度；限制；范围
limitation	n.限制；限度，局限
limited	a.有限的
liquid	n.液体 a.液体的
load	vt.装；装满 n.负载
loan	n.贷款；暂借 vt.借出
lodge	vi.暂住，借宿，投宿
loosen	vt.解开；使松驰
loss	n.遗失；损失；失败
luggage	n.行李；皮箱，皮包
luxury	n.奢侈，奢华；奢侈品
magazine	n.杂志，期刊
