magnet	n.磁铁，磁石，磁体
magnetic	a.磁的，有吸引力的
mainland	n.大陆
mankind	n.人类
margin	n.页边的空白；边缘
marriage	n.结婚，婚姻；婚礼
mask	n.面具；伪装 vt.掩饰
mass	n.众多；团；群众
masterpiece	n.杰作，名著
material	n.材料；素材 a.物质的
mature	a.成熟的 vt.使成熟
meadow	n.草地，牧草地
mechanic	n.技工，机械，机修工
mechanical	a.机械的；力学的
medal	n.奖章，勋章，纪念章
medical	a.医学的；内科的
medicine	n.内服药；医学
melt	vi.融化 vt.使融化
mend	vt.修理，修补，缝补
mercy	n.仁慈，慈悲，恩惠
mere	a.仅仅的；纯粹的
merit	n.长处，优点；功过
mess	n.混乱，混杂，肮脏
metal	n.金属，金属制品
midst	n.中部，中间，当中
mild	a.和缓的；温柔的
mineral	n.矿物 a.矿物的
miserable	a.痛苦的，悲惨的
mislead	vt.使误入岐途
misunderstand	vt.误解/会,曲解
mixture	n.混合；混合物
moist	a.湿润的；多雨的
moisture	n.潮湿，湿气；温度
molecule	n.分子，克分子
mood	n.心情，情绪；语气
moral	a.道德的；合乎道德的
moreover	ad.再者，加之，此外
mostly	ad.主要的，大部分
mount	vt.登上，爬上 n.…山
mourn	vi.哀痛，哀悼
murder	n.&vi.谋杀，凶杀
muscle	n.肌肉，肌；体力
mute	a.缄默的 n.哑巴
mysterious	a.神秘的；难以理解的
mystery	n.神秘；神秘的事物
naked	a.裸体的；无遮敝的
namely	ad.即，也就是
neighbourhood	n.邻居关系；邻近
network	n.网状物；网络
neutral	a.中立的；中性的
nevertheless	conj.然而 ad.仍然
noble	a.贵族的；高尚的
nonsense	n.胡说，废话
note	n.笔记；便条；注释
notice	vt.注意 n.通知；注意
nowadays	ad.现今，现在
nuclear	a.原子核的；核心的
nucleus	n.核，核心；(原子)核
nuisance	n.讨厌的东西
odd	a.奇数的；单只的
odour	n.气味，香气；味道
oppress	vt.压迫，压制；压抑
orbit	n.运行轨道 vt.环绕
orchestra	n.管弦乐队
organ	n.器官；机构；管风琴
organic	a.有机体的；器官的
organization	n.组织;团体,机构
organize	vt.组织，编组
ought	v.aux.应当，应该
outlet	n.出口，出路；排遣
outline	n.轮廓；略图；大纲
outlook	n.观点，看法；展望
output	n.产量；输出量；输出
outset	n.开始，开端
outstanding	a.突出的，杰出的
outwards	ad.向外，往海外
overall	n.工装裤 a.全面的
overcome	vt.战胜，克服
overhead	a.在头顶上的；架空的
overlook	vt.眺望；看漏；放任
overnight	ad.一夜；突然
overseas	ad.海外 a.在海外的
overtake	vt.追上，赶上；压倒
owe	vt.欠；应把…归功于
ownership	n.所有(权)，所有制
pace	n.步，步速 vi.踱步
pain	n.痛，疼痛；辛苦
panel	n.专门小组；面，板
paradise	n.伊甸乐园；天堂
passage	n.通过；通路，通道
passenger	n.乘客,旅客,过路人
pastime	n.消遣，娱乐
patch	n.补钉；碎片 vt.补缀
pause	n.&vi.中止，暂停
pave	vt.铺，筑(路等)
peak	n.山顶，巅 a.最高的
peasant	n.农民
pebble	n.卵石，细砾
peculiar	a.特有的；特别的
peel	vt.剥(皮)，削(皮)
period	n.时期；学时；句号
permanent	a.永久的，持久的
personal	a.个人的；本人的
personnel	n.全体人员，全体职员
persuade	vt.说服 vi.被说服
pessimistic	a.悲观的；厌世的
phase	n.阶段；方面；相位
phenomenon	n.现象
phrase	n.短语；习惯用语
physical	a.物质的；物理的
physician	n.医生，内科医生
physics	n.物理学
pierce	vt.剌穿 vi.穿入
pile	n.堆 vt.堆叠，累积
pillar	n.柱，柱子；栋梁
pilot	n.领航员；飞行员
pioneer	n.拓荒者；先驱者
pitch	n.沥青
pity	n.怜悯；遗憾 vt.同情
plain	n.平原 a.清楚的
