plane	n.平面；飞机
planet	n.行星
plastic	a.可塑的 n.塑料
plate	n.板，片，盘 vt.电镀
plot	n.小块土地 vt.密谋
plug	n.塞子；插头 vt.塞
plunge	vt.使投入；使陷入
poem	n.诗，韵文，诗体文
poet	n.诗人
poetry	n.诗，诗歌，诗作
poison	n.毒，毒药 vt.毒害
pole	n.杆，柱
polish	vt.磨光；使优美
polite	a.有礼貌的；有教养的
pollute	vt.弄脏，污染，沾污
pollution	n.污染
port	n.港，港口
pour	vt.灌，倒 vi.倾泻
poverty	n.贫穷，贫困
practical	a.实践的；实用的
practice	n.实践；练习；业务
precaution	n.预防；警惕
precious	a.珍贵的，宝贵的
preliminary	a.预备的，初步的
presence	n.出席，到场；在
present	a.现在的 n.目前
press	vt.压，按，揿；催促
pressure	n.压力；压力；压，按
print	vt.印刷 n.印刷；正片
prior	a.在先的；优先的
profession	n.职业
professional	a.职业的 n.专业人员
prominent	a.实起的；突出的
prompt	a.及时的 vt.敦促
province	n.省；领域，部门
qualify	vt.使具有资格
quality	n.质量；品质，特性
quantity	n.量，数量，分量
quarrel	n.争吵，吵架，口角
queue	n.行列 vi.排队等候
quicken	vt.加快 vi.加快
quilt	n.被(子)
quit	vt.离开，退出；停止
quiz	n.小型考试，测验
rage	n.(一阵)狂怒，盛怒
railway	n.铁路，铁道
raise	vt.举起；引起；提高
range	n.排，行；山脉；范围
rank	n.排，横行；社会阶层
rapid	a.快的 n.急流
rate	n.比率；速度；价格
reality	n.现实；真实
realize	vt.实现；认识到
reasonable	a.合情合理的；公道的
rebel	vi.造反 n.造反者
rebellion	n.造反；叛乱；反抗
recall	vt.回想；叫回；收回
recommend	vt.推荐，介绍；劝告
record	n.记录；履历 vt.记录
recover	vt.重新获得；挽回
recovery	n.重获；痊愈，恢复
refresh	vt.使清新 vi.恢复精神
refrigerator	n.冰箱，冷藏库
refute	vt.驳斥，反驳，驳倒
regard	vt.把…看作；尊敬
regret	vt.懊悔；抱歉 n.懊悔
relax	vt.使松弛 vi.松弛
release	vt.释放；放松；发表
reliable	a.可靠的，可信赖的
reluctant	a.不愿的，勉强的
rely	vi.依赖，依靠；信赖
remain	vi.剩下，余留；保持
remark	vt.&vi.&n.评论，谈论
remarkable	a.异常的，非凡的
remedy	n.&vt.治疗；补救
represent	vt.描绘；代表；象征
representative	a.代表性的 n.代表
reputation	n.名誉/声；好名声
rescue	vt.&n.援救，营救
research	n.&vi.调查，探究
resort	vi.&n.求助，凭借
resource	n.资源，物力；办法
respond	vi.作答；响应
response	n.作答，回答；响应
responsibility	n.责任(心)；职责
responsible	a.有责任的；尽责的
restaurant	n.餐馆，饭店，菜馆
retire	vi.退下；引退；就寝
return	vi.&n.回来，返回
reveal	vt.展现；揭示，揭露
reward	n.报答；报酬 vt.报答
rhythm	n.韵律，格律；节奏
ripe	a.熟的；时机成熟的
risk	n.风险，危险，冒险
rival	n.竞争者 a.竞争的
robbery	n.抢劫，劫掠，盗取
role	n.角色，作用，任务
roller	n.滚柱，滚筒，滚轴
rot	vt.烂，腐坏 n.腐烂
rough	a.表面不平的；粗略的
rouse	vt.唤醒，唤起；惊起
route	n.路，路线，路程
routine	n.例行公事 a.日常的
rubber	n.橡皮(擦子)；橡胶
rubbish	n.垃圾，废物；废话
ruin	n.毁灭；废墟 vt.毁坏
rumour	n.谣言，谣传，传闻
rural	a.农村的，田园的
rust	n.锈 vi.生锈，氧化
rusty	a.生锈的；变迟钝的
saddle	n.鞍子，马鞍
salary	n.薪金，薪水
sample	n.样品；实例，标本
satellite	n.卫星；人造卫星
sauce	n.调味汁，酱汁
scale	n.天平，磅秤，秤
scan	vt.细看；浏览；扫描
scarce	a.缺乏的；希有的
scarcely	ad.仅仅；几乎不
scatter	vt.使消散；撒；散播
