scene	n.发生地点；道具
schedule	n.时间表；计划表
scheme	n.计划，规划；诡计
scholarship	n.学业成绩；奖学金
scold	vi.责骂 vt.申斥
scorn	n.轻蔑；嘲笑 vt.轻蔑
screen	n.屏；屏幕 vt.掩蔽
seaport	n.海港，港市
search	vt.在…中搜寻，搜查
seek	vt.寻找，探索；试图
seize	vt.抓住，逮捕；夺取
seldom	ad.很少，不常，难得
selfish	a.自私的，利己的
senior	a.年少的；地位较高的
series	n.连续，系列；丛书
setting	n.安装，调整；环境
settle	vt.安排；安放；调停
settlement	n.解决；殖民(地)
severe	a.严格的；严厉的
shallow	a. 浅的；肤浅的
shelter	n. 避难所，庇护；vt. 保护，遮蔽
shield	vt. 保护，遮蔽；n. 盾，护板
shift	n. 移动；变化；手段；轮班；vt. 转移；改变；替换；vi. 移动；转变；转换
shock	n. 休克；震惊；震动；打击；禾束堆；adj. 浓密的；蓬乱的；vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆；vi. 感到震惊；受到震动；堆成禾束堆
shortage	n. 缺乏，缺少；不足
shrink	vi. 收缩；退缩；畏缩
shrug	v. 耸肩；n. 耸肩
shuttle	航天飞机；穿梭；梭子；穿梭班机、公共汽车等；使穿梭般来回移动；短程穿梭般运送
sincere	adj. 真诚的；诚挚的；真实的
site	n. 地点；场所；网站
situation	n. 形势，情况
skeleton	n. 骨骼；骨架；梗概
skim	vt. 撇去；掠过；略读，浏览
skip	n. 跳跃；跳读；vt. 跳过；遗漏；vi. 跳跃；跳绳；遗漏；跳读
slender	a. 细长的，苗条的；微薄的
slight	a. 轻微的；纤细的 n./vt. 轻视
slippery	a. 滑的；狡猾的；难以捉摸的
solemn	a. 庄严的，隆重的；严肃的
soothe	vt. 安慰，抚慰；缓和，减轻
sophisticated	adj. 复杂精密的；老练的，世故的
sorrow	n. 悲伤，悲痛；伤心事
source	n. 来源；水源；原始资料
span	n. 跨度，间距；一段时间；vt. 横跨，跨越
spare	adj. 多余的，备用的；vt. 抽出，让给；饶恕
spend	n. 预算；vt. 度过，消磨（时光）；花费；浪费；用尽；vi. 花钱；用尽，耗尽
sphere	
sponsor	
spontaneous	
spot	n. 斑点，污点；场所，地点 v. 沾上污渍，弄脏
spouse	
spray	
spur	n. 刺激，激励；马刺；vt. 激励，鞭策
square	n. 广场 a. 平方的；方形的，宽而结实的（体格，肩膀）
staff	职员；参谋；棒；支撑；职员的；行政工作的；供给人员；给…配备职员
stake	
stalk	n. 茎，秆；跟踪，悄悄接近
stance	n. 立场；姿态；站姿
standard	n. 标准；水准；旗；度量衡标准；adj. 标准的；合规格的；公认为优秀的
standpoint	n. 立场；观点
staple	adj. 主要的，基本的；n. 主要产品；订书钉
stark	adj. 荒凉的；鲜明的；完全的
startle	vt. 使惊吓，使吃惊
starvation	n. 饥饿；饿死
starve	v. 饿死；使饥饿；渴望
stationery	n. 文具；信纸
steady	adj. 稳定的；平稳的；v. 使稳定
steep	a. 险峻的；陡峭的
stem	n. 茎，干；vi. 起源于
stern	adj. 严厉的，严格的；严峻的
sticky	adj. 粘的；棘手的
stiff	adj. 硬的；僵直的；拘谨的
stimulate	vt. 刺激；激励，鼓舞
stimulus	n. 刺激物；激励因素
sting	v. 刺，蜇；刺痛；n. 刺，刺痛
stock	n. 存货；股票；储备；vt. 储备
storage	n. 贮藏，保管；存储
straightforward	adj. 直接的，坦率的；易懂的
strategic	adj. 战略的；关键的
strategy	n. 战略，策略
strength	n. 力量；力气；兵力；长处
strike	v.（钟）鸣;敲（响）,罢工,擦（打）火, 侵袭
striking	adj. 显著的，引人注目的；惊人的
strip	vt. 剥去，剥夺；n. 条，带
strive	vi. 努力，奋斗；力求
stroke	n. 中风；击打；笔画；vt. 抚摸
stumble	vi. 绊倒；蹒跚；偶然发现
stun	vt. 使震惊；使昏迷
sturdy	a. 结实的；强健的；坚定的
subsidy	n. 补贴，津贴；补助金
subtle	a. 微妙的；细微的；敏锐的
sue	vt. 控告，起诉；vi. 提出诉讼
summary	n. 摘要，总结
summit	n. 顶点，峰顶；（首脑）会议
superb	adj. 极好的，卓越的
superficial	a. 肤浅的；表面的
superior	上级的；优秀的，出众的；高傲的；上级，长官；优胜者，高手；长者
suppress	vt. 镇压；抑制；隐瞒
supreme	a. 最高的；至上的；极度的
surge	vi. 汹涌，涌动；激增；n. 汹涌；激增
surgeon	n. 外科医生
surgery	n. 外科手术；手术室
surpass	vt. 超过，胜过，优于
sway	v. 摇摆，摇动；n. 摇摆；支配，影响
sweep	v. 扫除，扫
swift	adj. 迅速的，快的；敏捷的
switch	n. 开关；转换；鞭子；vi. 转换；抽打；换防；vt. 转换；用鞭子等抽打
symbol	n. 象征；符号；标志
symbolic	adj. 象征的，象征性的；有象征意义的
symptom	n. 症状；征兆
synthesis	n. 综合，合成；综合体
tablet	n. 药片；碑；平板电脑
tackle	vt. 对付，处理；抓住
talent	n.天才;才能;人才
target	n. 目标，靶子；vt. 以…为目标
tax	n. 税金；重负；vt. 向…课税；使负重担
tedious	a.冗长乏味的，沉闷的
tempt	vt.引诱，诱惑;吸引
temptation	n.诱惑，引诱
terrific	a. 极好的；极大的
terror	n.恐怖，惊骇
