theft	盗窃；偷；赃物
theme	n. 主题；题目；基调
theoretical	a.理论(上)的
theory	n. 理论；原理；学说；推测
therapy	n. 疗法；治疗
thereby	ad.因此，从而，由此
thesis	n. 论文；论点；论题
thorough	a.彻底的;详尽的
thoughtful	a.沉思的;体贴的
threat	n.威胁，恐吓，凶兆
thrill	n. 兴奋，激动；vt. 使激动
thrive	vi.兴旺，繁荣，旺盛
thrust	vt.插，刺n.插;讽刺
thus	ad.如此，这样;因而
tide	n.潮，潮汐;潮流
timid	a. 胆小的；羞怯的
tissue	n.薄绢;薄纸;组织
token	n. 象征，标志；代币，礼券
tolerance	n.忍受，容忍;公差
tolerate	vt.忍受，容忍，宽恕
toll	n. 通行费；伤亡人数；v. 鸣钟
toss	vt. 扔，抛；摇摆
total	a.总的vi.合计，总共
tough	a.坚韧的;健壮的
tournament	n. 锦标赛，联赛
tow	vt. 拖，拉；n. 拖，牵引
toxic	a. 有毒的；中毒的
track	n.行踪;路径;轨道
trade	n.贸易;职业vi.交易
trademark	n. 商标；标志
tradition	n. 传统，风俗
tragedy	n.悲剧;惨事，惨案
trail	n.痕迹;小径vt.跟踪
transplant	vt. 移植；n. 移植的器官
trap	n.陷阱;诡计vt.诱骗
treat	vt.对待;处理n.款待
treatment	n.待遇;治疗，疗法
treaty	n.条约;协议，协定
tremble	vi.发抖，哆嗦;摇动
tremendous	a.极大的，非常的
trend	vi.伸向;倾向n.倾向
trial	n.试，试验;审判
trick	n.诡计;窍门vt.哄骗
trigger	vt. 引发，触发；n. 扳机
trim	a.整齐的vt.使整齐
triumph	n.凯旋;胜利vi.成功
trivial	a. 琐碎的，不重要的
troop	n.军队;一群，大量
tropical	a.热带的
trunk	n.树干;大衣箱，皮箱
trust	n.信任vt.相信;委托
truth	n.真理;真实;真实性
tug	vt. 用力拖（拉）；n. 猛拉
tumble	vi. 跌倒，滚落；暴跌
tunnel	n.隧道，坑道，地道
tutor	n. 导师，家庭教师；v. 辅导
twist	vt.捻;拧vi.&n.扭弯
type	n.型，类型vi.打字
typical	a.典型的，代表性的
ultimate	a.最后的，最终的
undergo	vt.经历，经受，忍受
underline	vt.划线于…之下
undertake	vt.从事;承担;保证
unemployment	n. 失业；失业率；失业人数
union	n.联合;团结;协会
unique	a.唯一的，独一无二的
unit	n.单位;单元;部件
up-to-date	a.直到最近的，现代的
update	n. 更新；现代化；vt. 更新；校正，修正；使现代化
upgrade	vt. 提升，升级；n. 升级
upright	a.垂直的;正直的
urge	vt.推进;催促n.冲动
utmost	a.最远的n.极限
utter	a.完全的，彻底的vt.发出，说，讲
vague	a.模糊的，含糊的
vapour	n.汽，蒸气
variable	a.易变的n.变量
variant	n. 变体，变种；a. 不同的
variety	n.多样化;种类;变种
vary	vt.改变;使多样化
vast	a.巨大的;大量的
vehicle	n.车辆，机动车
velocity	n.速度，速率
vessel	n.容器;船，飞船;管
vibrate	vt.使颤动vi.颤动
vice	n.罪恶;恶习;缺点；n.(老)虎钳
victim	n. 受害者，牺牲品
vigorous	a.朝气蓬勃的
violate	vt. 违反；侵犯；扰乱
violence	n. 暴力；侵犯；激烈；歪曲
violent	a.猛烈的;狂暴的
virtual	a. 虚拟的；实际上的
virtue	n.善;美德;优点
virus	n. 病毒
volcano	n.火山
vow	n. 誓言；v. 发誓，立誓
vulnerable	a. 易受伤害的；脆弱的
wage	vt.开展(运动)
wander	vi.漫游;迷路;离题
warehouse	仓库；货栈；大商店
wealth	n. 财富；大量；富有
weapon	n. 武器，兵器
weave	vt.织，编vi.纺织
weird	a. 奇怪的；离奇的；不可思议的
welfare	n.幸福，福利
whereas	conj. 然而，但是；鉴于
widespread	a. 分布广的；普遍的；广泛的
wild	n. 荒野；adj. 野生的；野蛮的；狂热的；荒凉的；adv. 疯狂地；胡乱地
wither	vi. 枯萎，凋谢；衰弱
withhold	vt. 拒绝给予；抑制
wonder	v. 对…疑惑，感到惊奇,想知道 n. 惊讶,惊叹;奇迹
worship	n.礼拜;崇拜vt.崇拜
wreck	n.失事;残骸vt.破坏
wrinkle	n. 皱纹；vi. 起皱纹
wrist	n.腕，腕关节
yawn	vi.打呵欠n.呵欠
yearn	vi. 渴望；思念
yield	vt.&vi.出产n.产量
zone	n.地区，区域，范围
zoom	vi. （镜头）推近；迅速上升；n. 嗡嗡声
