brittle			
bronze			
brood			
brook			
broom			
brow			
bruise			
brute			
bulk			
bundle	band		
burden			
bureau			
butcher			
cabin			
cabinet			
cable	cap		
cafeteria			
calculate	calc		
campaign	camp		
canal			
cannon			
canoe			
canteen			
canvas			
career	car		
cargo	car		
carpenter			
carriage	car		
carve			
cassette	cap		
cast			
cathedral			
ceiling			
cellar			
cement	cid		
ceremony			
challenge			
chamber			
champion	camp		
channel			
character			
characteristic			
charge	car		
charity			
chart	cart		
chase	cap		
chemical	chem		
chemist	chem		
cheque			
chill			
choke			
Christian			
cigarette			
classify	fac		
clue			
clumsy			
code			
collision			
colony	col		
column			
combination			
combine			
communicate			
communication			
community			
companion	pan		
complain			
compress			
conceal			
concentrate			
confess			
conflict			
consider			
considerable			
considerate			
consult			
contempt			
contrary			
contrast	sist		
control			
cope			
core			
correspond			
council			
couple			
court			
crack			
craft			
crash			
crush			
cultivate	cult		
culture	cult		
curve			
custom			
dawn			
debate	bat		
debt	hab		
decade			
decent			
decorate			
delay			
delete			
delicate			
delight			
dense			
depress			
derive			
descend			
desirable			
desire			
detail			
develop			
development			
devote			
digest			
disable	hab		
discard	cart		
discharge	car		
discipline			
disguise			
