display	plic			vt.陈列，展览；显示
disposal	pon			n.丢掉，处理，销毁
dispose	pon			vi.去掉，丢掉；销毁
dispute	put			vi.争论，争执 n.争论
dissolve	solv			vt.使溶解；解散
distant	sist			a.在远处的，疏远的
distress	string			n.忧虑，悲伤；不幸
distribute	trib			vt.分发，分送；分布
distribution	trib			n.分发/配；分布
district	string			n.区；地区，区域
disturb	turb			vt.打扰，扰乱；弄乱
diverse	vert			a.不一样的，相异的
divide	divid			vt.分；分配；分开
division	divid			n.分，分配；除法
divorce	vert			n.离婚，离异 vi.离婚
document	doc			n.公文，文件；证件
domestic	domin			a.本国的；家庭的
durable	dur			a.耐久的，耐用的
duration	dur			n.持续，持久
dynamic	dynam			a.有活力的；动力的
economic	nom			a.经济的，经济学的
economical	nom			a.节约的;经济学的
economy	nom			n.经济；节约，节省
edition	don			n.版，版本，版次
effect	fac			n.结果；效果，效力
effective	fac			a.有效的；有影响的
efficiency	fac			n.效率；功效，效能
efficient	fac			a.效率高的，有能力的
effort	fort			n.努力；努力的成果
elaborate	labor			a.复杂的；精心制作的
elect	lect			vt.选举，推选；选择
election	lect			n.选举，选择权；当选
elevator	lev			n.电梯；升降机
emerge	merg			vi.出现，涌现；冒出
emergency	merg			n.紧急情况，突然事件
emit	mit			vt.散发；发射；发表
emotion	mob			n.情感，感情；激动
employ	plic			vi.雇用；用；使忙于
employment	plic			n.工业；雇/使用
enclose	clud			vt.围住，圈起；附上
endure	dur			vt.忍受；容忍
enforce	fort			vt.实施，执行；强制
enormous	norm			a.巨大的，庞大的
ensure	cur			vt.保证；保护；赋予
entertain	tain			vt.使欢乐；招待
envy	vid			vt.&n.妒忌；羡慕
equal	equ			a.相等的；平等的
equality	equ			n.等同，平等；相等
equivalent	equ	equ,val	equ(相等)+val(价值)	a.相等的；等量的
erect	reg			vt.建造；使竖立
error	err			n.错误，谬误；差错
establish	sist			vt.建立，设立；确立
evaluate	val			vt.评价，估…的价
event	ven			n.事件，大事；事变
eventually	ven			ad.终于；最后
evidence	vid			n.根据；证据，证人
evident	vid			a.明显的，明白的
evolution	volv			n.进化，演化；发展
evolve	volv			vt.使进化；使发展
exceed	ced			vt.超过，胜过；超出
exception	cap			n.例外，除外
excess	ced			n.超越；过量；过度
exclaim	claim			vi.呼喊；惊叫
exclude	clud			vt.把…排除在外
excursion	cur			n.远足；短途旅行
execute	sequ			vt.将…处死；实施
executive	sequ			a.执行的 n.执行者
exhibit	hab			vt.显示；陈列，展览
exist	sist			vi.存在；生存，生活
expand	pand			vt.扩大；使膨胀
expect	spec			vt.预料，预期；等待
expectation	spec			n.期待/望，预期
expense	pend			n.花费，消费；费用
exploit	plic			vt.剥削；利用；开拓
export	port			vt.输出，出口；运走
expose	pon			vt.使暴露；揭露
exposure	pon			n.暴露；揭露；曝光
extend	tend			vt.延长；扩大；致
extension	tend			n.延长部分；伸展
extensive	tend			a.广阔的；广泛的
extent	tend			n.广度；范围；程度
extraordinary	ord			a.非同寻常的，特别的
facility	fac			n.设备；容易；便利
factor	fac			n.因素；因子，系数
faculty	fac			n.才能，能力；系，科
faith	fid			n.信任，信心；信仰
fatigue	ped			n.疲劳，劳累
feasible	fac			a.可行的；可能的
feature	fac			n.特征，特色；面貌
federal	fid			a.联邦的；联盟的
fence	fend			n.栅栏
fertile	fer			a.肥沃的；多产的
fiction	fict			n.小说；虚构，杜撰
figure	fict			n.数字；外形；人物
final	fin			a.最后的；决定性的
finance	fin			n.财政，金融；财源
financial	fin			a.财政的，金融的
firm	firm			n.商行，商号，公司
flexible	flect			a.易弯曲的；灵活的
float	flu			vi.漂浮 vt.使漂浮
flourish	flor			vi.繁荣，茂盛，兴旺
flow	flu			vi.流动；飘垂；涨潮
flu	flu			n.流行性感冒
fluent	flu			a.流利的，流畅的
fluid	flu			n.流体，液体
force	fort			vt.强迫 n.力，力量
form	form			n.形式；形状 vt.形成
formal	form			a.正式的；礼仪上的
former	form			a.在前的 n.前者
formula	form			n.公式，式
found	fund			vt.创立，创办；建立
foundation	fund			n.基础；地基；基金
fraction	frag			n.小部分；片断；分数
fragment	frag			n.碎片，破片，碎块
frontier	front			n.边境；边疆；新领域
fund	fund			n.资金；基金；存款
fundamental	fund			a.基础的，基本的
general	gen			a.总的；一般的 n.将军
generate	gen			vt.发生；引起；生殖
generation	gen			n.一代(人)；产生
generous	gen			a.慷慨的；宽厚的
genius	gen			n.天才，天赋，天资
genuine	gen			a.真的；真正的
geometry	geo	geo,meter	geo(土地)+meter(测量),几何源于丈量土地	n.几何，几何学
grace	grat			n.优美，文雅；雅致
graceful	grat			a.优美的，优雅的
gracious	grat			a.有礼貌的；仁慈的
gradual	grad			a.逐渐的；渐进的
graduate	grad			n.毕业生 vi.大学毕业
grammar	graph			n.语法；语法书
