mention	ment			vt.&n.提及，说起
merchant	merc			n.商人；零售商
message	mit			n.信息，消息；启示
messenger	mit			n.送信者，信使
meter	meter			n.计量器，计，表
metre	meter			n.米，公尺
metric	meter			a.公制的，米制的
microcomputer	micro			n.微型计算机，微机
microphone	micro	micro,phon	micro(小)+phon(声音),放大微小声音	n.话筒，麦克风
microscope	micro	micro,scop	micro(小)+scop(看),看微小之物	n.显微镜
military	milit			a.军事的；军人的
millimetre	meter			n.毫米
minimum	min			n.最小量 a.最小的
minister	min			n.部长，大臣；公使
minor	min			a.较小的；较次要的
minority	min			n.少数；少数民族
minus	min			a.负的 prep.减(去)
miracle	mir			n.奇迹，令人惊奇的人
mirror	mir			n.镜子 vt.反映，反射
missile	mit			n.发射物；导弹
mission	mit			n.使命，任务；使团
mobile	mob			a.运动的；流动的
mode	mod			n.方式，样式
model	mod			n.模型；模式；模特儿
moderate	mod			a.温和的；有节制的
modern	mod			a.现代的，近代的
modest	mod			a.有节制的；谦虚的
modify	mod			vt.更改，修改；修饰
moment	mob			n.片刻，瞬间，时刻
monitor	mon			n.班长；监视器
monument	mon			n.纪念碑；纪念馆
mortal	mor			a.终有一死的；致死的
motion	mob			n.运动；手势；提议
motivate	mob			vt.促动；激励，激发
motive	mob			n.动机，目的
motor	mob			n.发动机；机动车
movement	mob			n.动作,活动;移动
multiple	plic			a.复合的；并联的
multiply	plic			vt.使增加；乘
mutual	mut			a.相互的；共同的
nationality	nat			n.国籍；民族，族
native	nat			a.本土的 n.本地人
naval	nav			n.海军的，军舰的
navigation	nav			n.航行;航海术;导航
necessity	ced			n.必要性；必然性
negative	neg			a.否定的；消极的
neglect	lect			vt.忽视，忽略；疏忽
nerve	neur			n.神经；勇敢，胆量
nervous	neur			a.神经的；易激动的
normal	norm			a.正常的，普通的
noun	nom			n.名词
novel	nov			n.小说 a.新的
number	numer			n.数，数字；号码
numerous	numer			a.为数众多的；许多
nurse	nutri			n.保姆；护士 vt.看护
nursery	nutri			n.托儿所；苗圃
obey	aud			vt.顺从 vi.服从
object	ject			n.物，物体；目的
objection	ject			n.反对,异议;不喜欢
objective	ject			a.客观的；无偏见的
oblige	lig			vt.迫使；施恩惠于
observation	serv			n.注意；观察(力)
observe	serv			vt.遵守；看到；说
obstacle	sist			n.障碍，障碍物，妨害
obtain	tain			vt.获得，得到，买到
obvious	vi			a.明显的，显而易见的
occasion	cad			n.场合，时刻；时机
occasional	cad			a.偶然的；临时的
occupation	cap			n.占领/据；职业
occupy	cap			vt.占领；占，占有
occur	cur			vi.发生；出现，存在
occurrence	cur			n.发生，出现；事件
offend	fend			vt.冒犯 vi.犯过错
offer	fer			vt.提供；提出 n.提供
office	fac			n.办公室；处，局，社
officer	fac			n.官员；干事；军官
official	fac			a.官员的；官方的
omit	mit			vt.省略，省去；遗漏
opera	oper			n.歌剧
operate	oper			vi.操作；施行手术
operation	oper			n.操作；手术；运算
operational	oper			a.操作上的；可使用的
opinion	opt			n.意见，看法，主张
opponent	pon			n.对手,敌手;对抗者
opportunity	port			n.机会，良机
oppose	pon			vt.反对；反抗
opposite	pon			a.对面的 n.对立物
optical	opt			a.眼的；光学的
optimistic	opt			a.乐观/乐观主义的
option	opt			n.选择，选择权
optional	opt			a.可以任意选择的
oral	ora			a.口头的；口的
ordinary	ord			a.平常的；平凡的
origin	ori			n.起源，由来；出身
original	ori			a.最初的；新颖的
pacific	pac			a.和平的 n.太平洋
paragraph	graph			n.(文章的)段，节
parallel	par	par,alter	par(并列)+alter(其他)，彼此并列相似	a.平行的；相同的
parcel	part			n.包裹，小包，邮包
pardon	don			n.原谅；赦免 vt.原谅
parent	par			n.父亲，母亲，双亲
parliament	par			n.议会，国会
partial	part			a.部分的；不公平的
participate	cap	part,cap	part(部分)+cip(拿)，拿一份即参与	vi.参与/加；分享
particle	part			n.粒子，微粒
particular	part			a.特殊的；特定的
particularly	part			ad.特别,尤其,格外
partner	part			n.伙伴；搭挡；配偶
party	part			n.党，党派；聚会
passion	pass			n.激情，热情；爱好
passive	pass			a.被动的；消极的
patience	pass			n.忍耐，容忍，耐心
patient	pass			a.忍耐的 n.病人
pattern	pater			n.型，式样，模，模型
peace	pac			n.和平；和睦；平静
penetrate	pen			vt.穿过 vi.穿入
peninsula	pen			n.半岛
pension	pend			n.抚恤金，年金
perceive	cap			vt.察觉，发觉；理解
percent	cent			n.百分之…
percentage	cent			n.百分比，百分率
perfect	fac			a.完美的；完全的
perform	form			vt.履行，执行；演出
performance	form			n.履行；演出；行为
permission	mit			n.允许，许可，同意
permit	mit			vt.允许 n.执照
persist	sist			vi.坚持，固执；持续
perspective	spec			n.透视;远景;观点
philosophy	phil	phil,soph	phil(爱)+soph(智慧)	n.哲学；哲理；人生观
phone	phon			n.电话，电话机；耳机
