photograph	photo	photo,graph	photo(光)+graph(写)，用光写下的图	n.照/相片
platform	form			n.平台；站台；讲台
pleasant	plac			a.令人愉快的，舒适的
pleasure	plac			n.愉快，快乐；乐事
plenty	ple			n.丰富，充足，大量
police	polit			n.警察；警察当局
policy	polit			n.政策，方针
political	polit			a.政治的，政治上的
politician	polit			n.政治家；政客
politics	polit			n.政治，政治学；政纲
popular	popul			a.民众的；流行的
population	popul			n.人口；全体居民
portable	port			a.轻便的；手提的
portion	part			n.一部分；一分
portrait	tract			n.消像，画像
position	pon			n.位置；职位；姿势
positive	pon			a.确定的；积极的
possess	pot	pot,sed	pot(能力)+sed(坐)，能坐在财物上就是占有	vt.占用，拥有(财产)
possible	pot			a.可能的；可能存在的
postpone	pon			vt.延迟，推迟，延缓
potential	pot			a.潜在的 n.潜力
power	pot			n.能力；力；权；幂
preceding	ced			a.在前的；在先的
precise	cid			a.精确的，准确的
predict	dic			v.预言，预告，预测
prefer	fer			vt.宁可，宁愿
preference	fer			n.偏爱，优先(权)
prejudice	jud			n.偏见，成见
prepare	par			vt.&vi.准备，预备
prescribe	scrib			vt.命令；处(方)
preserve	serv			vt.保护；保存；腌渍
president	sed			n.总统；校长；会长
pretend	tend			vt.假托，借口 vi.假装
prevail	val			vi.胜，优胜；流行
prevent	ven			vt.预防，防止；阻止
previous	vi			a.先的；前的 ad.在前
primary	prim			a.最初的；基本的
prime	prim			a.首要的 n.春，青春
primitive	prim			a.原始的；粗糙的
principal	prim			a.主要的 n.负责人
principle	prim			n.原则，原理；主义
prison	prehend			n.监狱，监禁
private	priv			a.私人的；私下的
privilege	priv			n.特权，优惠
probable	prob			a.或有的；大概的
procedure	ced			n.程序；手续；过程
proceed	ced			vi.进行；继续进行
process	ced			n.过程；工序 vt.加工
proclaim	claim			vt.宣告，宣布；表明
produce	duc			vt.生产；产生；展现
product	duc			n.产品，产物；(乘)积
productive	duc			a.生产的；丰饶的
profit	fac			n.益处；利润 vi.得益
program	graph			n.节目单；大纲；程序
progress	grad			n.前进，进展；进步
prohibit	hab			vt.禁止，阻止
project	ject			n.方案，工程 vi.伸出
promise	mit			n.诺言；指望 vt.允诺
promote	mob			vt.促进，发扬；提升
pronounce	nounc			vt.发…的音；宣布
proof	prob			n.证据；证明；校样
proper	propri			a.适合的；合乎体统的
property	propri			n.财产，资产；性质
proportion	part			n.比，比率，部分
propose	pon			vt.提议 vi.求婚
prospect	spec			n.展望；前景，前程
prosperity	sper			n.繁荣；昌盛，兴旺
protect	tect			vt.保护，保卫，警戒
protein	proto			n.蛋白质，朊
protest	test			vt.&vi.&n.抗议
prove	prob			vt.证明 vi.结果是
provide	vid			vt.提供；装备，供给
provision	vid			n.供应；预备；存粮
psychological	psych	psych,log	psych(心理)+log(学科)	a.心理(学)的
public	popul			a.公众的 n.公众
publish	popul			vt.公布；发表；出版
pulse	pel			n.脉搏；脉冲，脉动
punch	punct			vt.冲出 n.冲压机
punctual	punct			a.严守时刻的；准时的
punish	pen			vt.罚，惩罚，处罚
punishment	pen			n.罚，惩罚，处罚
purify	pur			vt.使纯净，使洁净
purity	pur			n.纯净；纯洁；纯度
purpose	pon			n.目的；意图；效果
pursue	sequ			vt.追赶，追踪；进行
pursuit	sequ			n.追赶；追求；事务
quotation	cit			n.引用；引文；报价单
quote	cit			vt.引用，引证；报价
radiate	radi			vi.发射光线；辐射
radiation	radi			n.放/发射；辐射能
radioactive	act			a.放射性的
radioactivity	act			n.放射性，放射(现象)
radius	radi			n.半径
ratio	rat			n.比，比率
rational	rat			a.理性的；出于理性的
react	act			vi.起反应；有影响
reaction	act			n.反应；反作用
receipt	cap			n.收到；收条，收据
receive	cap			vt.收到；得到；接待
receiver	cap			n.收受者，收件人
reception	cap			a.接待；招待会；接受
recite	cit			vt.&vi.背诵，朗诵
recognition	cogn			n.认出，识别；承认
recognize	cogn			vt.认识，认出；承认
recollect	lect			vt.回忆，追忆，想起
reduce	duc			vt.减少，减小；简化
reduction	duc			n.减少，减小，缩减
refer	fer			vt.使求助于 vi.谈到
reference	fer			n.参考；出处；提及
refine	fin			vt.&vi.精炼，提纯
reflect	flect			vt.反射；反映；思考
reflection	flect			n.反射；映象；反映
reform	form			vt.&n.改革，改良
refuge	fug			n.避难，庇护；庇护者
refusal	fus			n.拒绝
refuse	fus			vt.拒绝 vt.拒绝
region	reg			n.地区，地带；领域
register	reg			n.&vt.登记，注册
regular	reg			a.规则的；整齐的
regulate	reg			vt.管理，控制；调整
regulation	reg			n.规则/章；管理
reign	reg			n.君主统治；支配
reinforce	fort			vt.增援，支援；加强
reject	ject			vt.拒绝；丢掉；驳回
relate	lat			vt.叙述；使联系
relation	lat			n.关系，联系；家属
relationship	lat			n.关系，联系
relative	lat			a.有关系的；相对的
relevant	lev			a.有关的，贴切的
relief	lev			n.减轻；救济；援救
