relieve	lev			vt.减轻，解除；救济
religion	lig			n.宗教；宗教信仰
remember	memor			vt.记得，想起；记住
remind	memor			vt.提醒，使想起
remote	mob			a.相隔很远的；冷淡的
remove	mob			vt.移动，搬开；脱掉
repair	par			vt.&n.修理，修补
repeat	pet			vt.重说，重做 n.重复
repetition	pet			n.重复，反复
replace	plac			vt.把…放回；取代
reply	plic			vi.&n.回答，答复
report	port			vt.&vi.报告；汇报
reporter	port			n.记者，通讯员
reproduce	duc			vt.&vi.繁殖，生殖
republic	popul			n.共和国，共和政体
request	quir			n.&v.请求，要求
require	quir			vt.需要；要求，命令
resemble	sembl			vt.像，类似
reserve	serv			vt.储备，保留；预定
reservoir	serv			n.水库；蓄水池
residence	sed			n.居住；驻扎；住处
resident	sed			a.居住的 n.居民
resign	sign			vt.放弃 vi.辞职
resist	sist			vt.&vi.抵抗，抵制
resistance	sist			n.抵抗/制；抵抗力
resolution	solv			n.坚决/定；决定
resolve	solv			vt.解决；决心 n.决心
respect	spec			n.&vt.尊敬，尊重
respectful	spec			a.恭敬的，尊重的
respective	spec			ad. 各自的，各个的
respectively	spec			ad.各自/分别地
restore	sta			vt.恢复；归还；修补
restrain	string			vt.抑制，遏制；限制
restrict	string			vt 限制，限定，约束
restriction	string			n.限制，限定，约束
result	sal			n.成果 vi.发生，结果
resume	sum			vt.恢复；重新开始
retain	tain			vt.保持，保留，保有
retreat	tract			vi.(被迫)退却，后退
reverse	vert			vt.颠倒，翻转 n.背面
review	vid			vt.再检查 n.复习
revise	vid			vt.修订，校订；修改
revolt	volv			vi.&n.反抗，造反
revolution	volv			n.革命；旋转，绕转
ridiculous	rid			a.荒谬的，可笑的
rigid	reg			a.刚硬的；僵硬的
rotary	rot			a.旋转的，转动的
rotate	rot			vi.旋转 vt.使旋转
rotation	rot			n.旋转，转动；循环
royal	reg			a.王的；皇家的
sacred	sacr			a.上帝的；神圣的
sacrifice	sacr	sacr,fac	sacr(神圣)+fac(做)	n.&vt.牺牲；南祭
saint	sacr			n.圣徒；基督教徒
satisfaction	fac			n.满意；快事；赔偿
satisfactory	fac			a.令人满意的,良好的
satisfy	fac			vt.满足；使满意
scent	sens			n.气味，香味；香水
scientific	sci			a.科学(上)的
scope	scop			n.范围；余地，机会
secondary	sequ			a.第二的；次要的
secretary	cern			n.秘书；书记；大臣
section	sec			n.切片；一段；部门
secure	cur			a.安心的；安全的
security	cur			n.安全，安全感
select	lect			vt.&vi.选择，挑选
selection	lect			n.选择，挑选；精选物
semiconductor	duc			n.半导体
sense	sens			n.感官；感觉；见识
sensible	sens			a.感觉得到的；明智的
sensitive	sens			a.敏感的；灵敏的
separate	par			a.分离的；个别的
sequence	sequ			n.连续，继续；次序
servant	serv			n.仆人，佣人，雇工
session	sed			n.会议，一段时间
sign	sign			n. 符号，标记
signal	sign			n. 信号，标志；vt. 发信号，示意
signature	sign			n. 签名，署名；特征
significance	sign			n. 意义，重要性；显著性
significant	sign			n. 象征；有意义的事物；adj. 重大的；有效的；有意义的；值得注意的；意味深长的
similar	sembl			a. 相似的；类似的
similarity	sembl			n. 类似；相似点
simulate	sembl			vt. 模拟；模仿；假装
simultaneous	sembl			a. 同时发生的；同步的
skeptical	scop			a. 怀疑的，多疑的
sketch	graph			n. 素描；草图；概述 vt. 素描；简述
skill	sci			n. 技能，技巧；熟练
skyscraper	scrib			n. 摩天大楼
slice	cid			薄片；部分；菜刀，火铲；切下；把…分成部分；将…切成薄片
social	soci			n. 联谊会；联欢会；adj. 社会的，社交的；群居的
society	soci			n. 社会
solar	sol			太阳的；日光的；利用太阳光的；与太阳相关的；日光浴室
sole	sol			a. 唯一的，单独的 n. 脚底；鞋底
solid	sol			a. 固体的；结实的；可靠的 n. 固体
soluble	solv			a. 可溶的；可解决的
solution	solv			n. 解决方案；溶液；溶解；解答
solve	solv			vt. 解决；解答；溶解；vi. 作解答
special	spec			a. 特别的，专门的
species	spec			n. 物种；种类；adj. 物种上的
specific	spec			n. 特性；细节；特效药；adj. 特殊的，特定的；明确的；详细的； 具有特效的
specify	spec			
specimen	spec			
spectacular	spec			adj. 壮观的，惊人的；n. 壮观的场面
spectrum	spec			
speculate	spec			
spirit	spir			n. 精神
stability	sist			n. 稳定，稳固
stable	sist			马厩；牛棚；稳定的；牢固的；坚定的；被关在马厩
stage	sist			
standardize	norm			vt. 使标准化，使合乎标准
statement	sist			n. 陈述；声明；报表
static	sist			adj. 静态的，静力的；n. 静电
stationary	sist			adj. 静止的，固定的；不变的
statistic	sist			n. 统计数字，统计资料
status	sist			n. 地位；身份；状态
stereotype	graph			n. 陈规，刻板印象；vt. 使模式化
strain	string			n. 紧张；压力；拉伤；vt. 拉紧；扭伤
stress	string			n. 压力；强调；紧张；重要性；重读；vt. 强调；使紧张；加压力于；用重音读
stretch	string			v. 伸展，伸长；n. 一片，一段
strict	string			a. 严格的，严密的
string	string			n. 细绳；一串；vt. 用线串
structural	stru			adj. 结构的，构造的
structure	stru			n. 结构；建筑物；vt. 构造
subject	ject			n. 题目；主题；学科；主语；主体
subjective	ject			a. 主观的；个人的
submarine	mar			n. 潜艇；adj. 海底的，水下的
submerge	merg			vt. 淹没；使浸没
submit	mit			vt. 提交，呈递；vi. 屈服，服从
subordinate	ord			a. 次要的；从属的 n. 下属
subscribe	scrib			vi. 订阅；同意；捐助
subscription	scrib			n. 订阅，订阅费；捐款
