subsequent	sequ			a. 随后的，后来的
substance	sist			n. 物质；实质；主旨
substantial	sist			a. 大量的；实质的；坚固的
substitute	sist			代用品；代替者；替代
subtract	tract			vt. 减去，减
suburb	urb			n. 郊区，市郊
succeed	ced			vi. 成功
succession	ced			n. 连续，接续；一系列；（王位等的）继承
successive	ced			a. 连续的，接连的
sufficient	fac			a. 足够的，充分的
suicide	cid			n. 自杀；自杀者
summon	mon			vt. 召唤；召集；鼓起（勇气）
superstition	sist			n. 迷信，迷信行为
supervise	vid			vt. 监督，管理；指导
supplement	ple			n. 补充物；增刊 vt. 补充
surplus	ple			n. 剩余，盈余；adj. 过剩的，剩余的
surrender	don			vi. 投降；屈服 vt. 交出，放弃
surroundings	und			n. 环境，周围的事物
survey	vid			n. 调查；测量；审视；纵览；vt. 调查；勘测；俯瞰；vi. 测量土地
survival	viv			n. 生存，幸存
survive	viv			vi. 幸存；活下来；vt. 幸存；生还；幸免于；比...活得长
suspect	spec			嫌疑犯；可疑的；不可信的；怀疑；猜想
suspend	pend			vt. 悬挂；暂停；使暂时停职
suspense	pend			n. 悬念，悬疑；焦虑，担心
suspicion	spec			n. 怀疑，猜疑
suspicious	spec			a. 可疑的；多疑的，怀疑的
sustain	tain			vt. 维持；支撑；承受
sustainable	tain			a. 可持续的；能维持的
symmetry	meter			n. 对称（性）；匀称
sympathetic	pass			a. 同情的；赞同的
sympathy	pass			n. 同情；慰问；赞同
symphony	phon			n. 交响乐，交响曲
synonym	nom			n. 同义词
system	sist			n. 制度，体制；系统；方法
systematic	sist			adj. 系统的，有条理的；有系统的
tactic	tach			n. 策略，战术
technical	techn			a.技术的，工艺的
technique	techn			n. 技术，技巧，手法
technology	techn			n. 技术
temper	temp			n. 脾气；心情；vt. 使缓和
temperature	temp			n. 温度
temporary	temp			a.暂时的，临时的
tend	tend			vt.照管，照料，护理；vi.走向，趋向;倾向
tendency	tend			n.趋向，趋势，倾向
tense	tend			n.时态，时；a.拉紧的，绷紧的
tension	tend			n.紧张,不安,拉紧,张力
term	termin			n. 学期;术语;条款;项
terminal	termin			a.末端的n.末端
terminate	termin			vt. 终止，结束
territory	terr			n.领土，版图;领域
testify	test			v. 作证；证明；表明
testimony	test			n. 证词；证据；证明
textile	text			n.纺织品a.纺织的
texture	text			n. 质地；纹理；口感
thermal	therm			a. 热的；热量的；保暖的
thermometer	therm			n.温度计，寒暑表
tone	ton			n.音;腔调;声调
torture	tort			n.拷问;折磨vt.拷打
trace	tract			n.痕迹;丝毫vt.跟踪
tract	tract			n. 地带；（宣传用）小册子
trait	tract			n. 特征；特点
transaction	act			n. 交易；业务
transcript	scrib			n. 成绩单；抄本
transfer	fer			vt.转移;调动vi.转移
transform	form			vt.改变;改造;变换
transit	it			n. 运输，运送；通行
transition	it			n. 过渡；转变
translate	lat			vt. 翻译
transmit	mit			vt.传送，传达;发射
transparent	par			a.透明的;易识破的
transport	port			vt.运输n.运输
triangle	ang			n.三角(形)
tribute	trib			n. 致敬；贡品
triple	ple			a. 三倍的；三重的
tuition	doc			n. 学费；讲授
tune	ton			n.调子;和谐vt.调谐
umbrella	umbr			n. 雨伞
unconscious	sci			a.不省人事的
undergraduate	grad			n.大学在校生
unexpected	spect			a.想不到的，意外的
unfold	plic			vt. 展开，打开；展现，表明
uniform	form			a.一样的n.制服
unite	it			vi.联合vt.使联合
universal	vert			a.宇宙的;普遍的
universe	vert			n. 宇宙
urban	urb			a.都市的,住在都市的
urgent	urg			a.紧急的;强求的
usage	us			n.使用，对待;惯用法
use	us			vt. 利用,使用,应用 n. [juːs] 用法,应用,运用
usual	us			a. 通常的，平常的
utility	us			n.效用，有用，实用
utilize	us			vt.利用
vacancy	vac			n. 空缺；空职；空白
vacant	vac			a.空的;未被占用的
vacuum	vac			n.真空;真空吸尘器
vain	vac			a.徒劳的;自负的
valid	val			a.有效的;正当的
validate	val			vt. 证实；使生效
vanish	vac			vi.突然不见，消失
venture	ven			n.&vi.冒险vt.敢于
verbal	verb			a. 言语的，口头的；动词的
verify	ver			vt.证实，查证;证明
verse	vert			n. 诗，诗节；韵文
version	vert			n.译文;说法;改写本
vertical	vert			a.垂直的，竖式的
via	vi			prep.经过;通过
visible	vid			a.可见的，看得见的
vision	vid			n.视;想象力;梦幻
visual	vid			a.看的;看得见的
vital	viv			a.生命的;有生命力的
vivid	viv			a.鲜艳的;生动的
vocabulary	voc			n. 词汇；词汇量
vocal	voc			a. 嗓音的，发声的；直言的
volume	volv			n.卷，册;容积;音量
voluntary	vol			a.自愿的，志愿的
volunteer	vol			n.志愿者 v. 自愿做某事
voucher	voc			n. 代金券；凭单；凭证
voyage	vi			n.&vi.航海，航空
width	form			n.宽阔，广阔;宽度
willing	vol			a.愿意的，心甘情愿的
wisdom	sci			n. 智慧；明智
withdraw	tract			vt.收回;撤回vi.撤退
withstand	sist			vt.抵挡，反抗
worth	val			a.值…的n.价值
worthy	val			a.有价值的;值得的
write	scrib			(wrote, written) v. 写，书写；写作，著述
writing	scrib			n. 写作；著作
yearly	ann			a.每年的ad.一年一度
