graph			n.(曲线)图，图表
grateful			a.感激的；令人愉快的
gratitude			a.感激，感谢，感恩
grave			n.坟墓 a.严重的
gravity			n.重力，引力；严重性
grieve			vt.使悲痛 vi.悲痛
habitual			a.习惯性的，惯常的
hesitate			vi.犹豫，踌躇；含糊
horror			n.恐怖；战栗；憎恶
host			n.主人；东道主
hostile			a.敌方的；不友善的
human			a.人的，人类的 n.人
humble			a.谦逊的；地位低下的
humid			a.湿的，湿气重的
humour			n.幽默，诙谐，幽默感
ideal			a.理想的；观念的
identical			a.完全相同的；同一的
identify			vt.认出，识别，鉴定
ignorant			a.不知道的；无知的
ignore			vt.不顾，不理，忽视
illegal			a.不合法的，非法的
illustrate			vt.(用图等)说明
immediate			a.立即的；直接的
immense			a.巨大的；极好的
immigrant			n.移民 a.移民的
implication			n.含义，暗示，暗指
imply			vt.暗示，意指
import			vt.&n.输入，进口
impose			vt.把…强加；征(税)
incident			n.发生的事；事件
incline			n.斜坡 vt.使倾斜
indefinite			a.不明确的；不定的
independent			a.独立的;自主的
index			n.索引；指数；指标
indicate			vt.标示，表示；表明
indifferent			a.冷漠的；不积极的
indignant			a.愤慨的，义愤的
indispensable			a.必不可少的，必需的
individual			a.个别的；独特的
industry			n.工业，产业；勤劳
infect			vt.传染；感染
infer			vt.推论，推断；猜想
infinite			a.无限的；无数的
influence			n.影响；势力 vt.影响
inform			vt.通知，向…报告
inhabit			vt.居住于，栖息于
initial			a.最初的；词首的
injection			n.注射，注入；充满
injure			vt.伤害，损害，损伤
injury			n.损害，伤害；受伤处
inquire			vt.打听，询问；调查
inquiry			n.询问，打听；调查
insist			vi.坚持；坚持要求
inspect			vt.检查，审查；检阅
inspire			vt.鼓舞；给…以灵感
instance			n.例子，实例，事例
instant			n.瞬间 a.立即的
institute			n.研究所；学院
institution			n.协会;制度，习俗
instruct			vt.教；指示；通知
instrument			n.仪器;工具；乐器
insult			vt.&n.侮辱，凌辱
insurance			n.保险；保险费
intellectual			n.知识分子 a.智力的
intelligence			n.智力；理解力；情报
intend			vt.想要，打算；意指
intense			a.强烈的；紧张的
intensity			n.强烈，剧烈；强度
intensive			a.加强的；精耕细作的
intention			n.意图，意向，目的
interaction			n.相互作用；干扰
interfere			vi.干涉，干预；妨碍
intermediate			a.中间/级的
interrupt			vt.打断，打扰；中止
interview			n.接见；会见；面谈
invade			vt.入侵，侵略；侵袭
invent			vt.发明，创造；捏造
invest			vt.投资；投入
investment			n.投资(额)，投入
invisible			a.看不见的，无形的
involve			vt.使卷入；牵涉
irregular			a.不规则的；不整齐的
isolate			vt.使隔离，使孤立
joint			n.接头，接缝；关节
judge			n.法官；裁判员
judgement			n.意见；审判；判断
jury			n.陪审团；评奖团
justice			n.正义，公正；司法
justify			vt.证明…是正当的
laboratory			n.实验室，研究室
labour			n.劳动；工作；劳工
lecture			n.&vi.演讲，讲课
legal			a.法律的；合法的
legend			n.传说，传奇
lever			n.杆，杠杆；控制杆
liable			a.易于…的；可能的
liberal			a.心胸宽大的；慷慨的
liberate			vt.解放；释放
liberty			n.自由；释放；许可
literary			a.文学(上)的
literature			n.文学；文献
local			a.地方的；局部的
locate			vt.探明，找出，查出
location			n.位置，场所
logic			n.逻辑，推理；逻辑性
logical			a.逻辑的；符合逻辑的
loyal			a.忠诚的，忠心的
loyalty			n.忠诚，忠心
magnificent	magn,fac	magn(大)+fac(做),做得巨大→壮丽	n.壮丽的；华丽的
maintain	man,tain	man(手)+tain(持),用手持住→维持	vt.维持；赡养；维修
maintenance	man,tain	man(手)+tain(持),持住不放→保持	n.维持，保持；维修
major			a.较大的 n.专业
majority			n.多数，大多数
manage			vt.管理；设法；对付
management			n.管理；经营，处理
manner			n.方式；态度；礼貌
manual			a.体力的 n.手册
manufacture	man,fac	man(手)+fac(做),用手做出→制造	vt.制造 n.制造；产品
manufacturer	man,fac	man(手)+fac(做),制作的人	n.制造商/厂
marine			a.海的；海上的
marvelous			a.奇迹般的；了不起的
maximum			n.最大量 a.最大的
mayor			n.市长
measure			vt.量，测量 n.分量
measurement			n.衡量,测量；尺寸
Mediterranean	med,terr	med(中)+terr(土地),陆地中间的海	n.地中海 a.地中海的
medium			n.媒质；中间 a.中等的
memorial			a.纪念的；记忆的
memory			n.记忆；回忆；存储
mental			a.智力的；精神的
