skate	skeɪt	vi. 溜冰，滑冰
skating		
skeleton		
skeptic		
skeptical		
skepticism		
sketch		
sketchy		
ski	skiː	n.& vi. 滑雪板；滑雪
skiing		
skilful		
skill		
skilled		
skim		
skin		
skinny		
skip	skɪp	n. 跳跃；跳读；vt. 跳过；遗漏；vi. 跳跃；跳绳；遗漏；跳读
skirt	skɜːt	n. 女裙
skull		
sky	skaɪ	n. 天；天空
skyline		
skyscraper		
slack		
slam		
slap		
slash		
slaughter		
slave		
slavery		
sleep	sliːp	vi. 睡觉
sleepiness		
sleepy		
sleeve		
slender		
slice	slaɪs	薄片；部分；菜刀，火铲；切下；把…分成部分；将…切成薄片
slide		
slight		
slightly		
slim		
slip	slɪp	n. 滑，滑倒；片，纸片；错误；下跌；事故；abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）；adj. 滑动的；有活结的；活络的；vt. 使滑动；滑过；摆脱；塞入；闪开；vi. 滑动；滑倒；犯错；失足；减退
slipper		
slippery		
slogan		
slope		
slot		
slow	sləʊ	ad. 慢慢地，缓慢地
slum		
slump		
small	smɔːl	a. 小的，少的
smart	smɑrt	聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
smartphone		
smash		
smell	smel	v. 嗅，闻到；发气味 n. 气味
smelly		
smile	smaɪl	n.& v. 微笑
smog		
smoggy		
smoke	sməʊk	n. 烟 v. 冒烟；吸烟
smoky		
smooth	smuð	n. 平滑部分；一块平地；adj. 顺利的；光滑的；平稳的；vt. 使光滑；消除（障碍等）；使优雅；缓和；adv. 光滑地；平稳地；流畅地；vi. 变平静；变平滑
smuggle		
smuggler		
smuggling		
snack	snæk	小吃，快餐；一份，部分；吃快餐，吃点心
snail		
snake	sneɪk	n. 蛇 v. 蛇般爬行;蜿蜒行进
snap		
snatch		
sneak		
sniff		
snob		
snobbish		
snow	snəʊ	n. 雪 vi.下雪
snowy		
so	səʊ	ad. 如此，这么；非常；同样 conj. 因此，所以
so-called		
soak		
soap	səʊp	n. 肥皂
soar		
sob		
sober		
soccer		
sociable		
social	ˈsəʊʃl	n. 联谊会；联欢会；adj. 社会的，社交的；群居的
socialism		
socialist		
socialize		
society	səˈsaɪətɪ	n. 社会
sociologist		
sociology		
sock	sɔk	n. 短袜
socket		
soda		
sodium		
sofa	səʊfə	n.（长）沙发
soft	sɔft; (US) sɔːft	a. 软的，柔和的
soften		
software	ˈsɒftweə	n. 软件
soil	sɔɪl	n. 土壤，土地
solar	ˈsolɚ	太阳的；日光的；利用太阳光的；与太阳相关的；日光浴室
soldier	ˈsəʊldʒə(r)	n. 士兵，战士
sole		
solely		
solemn		
solemnity		
solicit		
solicitor		
solid		
solidarity		
solidify		
solidity		
solitary		
solitude		
solo		
soluble		
solution	səˈluʃən	n. 解决方案；溶液；溶解；解答
solve	sɒlv	vt. 解决；解答；溶解；vi. 作解答
solvent		
some	sʌm	a. 一些，若干；有些；某一 pron. 若干，一些
somebody	ˈsʌmbɔdɪ	pron. 某人；有人；有名气的人
somehow		
someone	ˈsʌmwʌn	pron. 某一个人
something	ˈsʌmθɪŋ	pron. 某事；某物
sometime		
sometimes	ˈsʌmtaɪmz	ad. 有时
somewhat		
somewhere	ˈsʌmweə	ad. 在某处
son	sʌn	n. 儿子
song	sɔŋ	n. 歌唱；歌曲
soon	suːn	ad. 不久,很快,一会儿
