soothe		
sophisticated		
sophistication		
sore		
sorrow		
sorrowful		
sorry	ˈsɔrɪ	a. 对不起,抱歉;难过的
sort	sɔrt	种类；方式；品质；分类；协调；交往
soul		
sound	saʊnd	vi. 听起来,发出声音 n. 声音
soup	suːp	n. 汤
sour	ˈsauə(r)	a. 酸的，馊的
source	sɔːs	n. 来源；水源；原始资料
south	ˈsauθ	a. 南(方)的 ad. 在南方；向南方 n. 南；南方；南部
southeast	‚sauθ'iːst	n. 东南
southeastern		
southern	'sʌð(ə)n	a. 南部的，南方的
southwest	sauθ'west	n. 西南
southwestern		
souvenir		
sovereign		
sovereignty		
sow	səu	vt. 播种
space	speɪs	n. 空间
spacecraft		
spaceship	ˈspeɪsʃɪp	n. 宇宙飞船
spacious		
spade		
spaghetti		
span		
spare		
sparingly		
spark		
sparkle		
spatial		
speak	ˈspiːk	v. 说，讲；谈话；发言
speaker	ˈspikɚ	演讲者；扬声器；说话者；说某种语言的人
spear		
special	ˈspeʃ(ə)l	a. 特别的，专门的
specialist		
speciality		
specialization		
specialize		
specialty		
species	ˈspiʃiz	n. 物种；种类；adj. 物种上的
specific	spəˈsɪfɪk	n. 特性；细节；特效药；adj. 特殊的，特定的；明确的；详细的； 具有特效的
specifically		
specification		
specify		
specimen		
spectacle		
spectacular		
spectator		
spectrum		
speculate		
speculation		
speculative		
speech	spiːtʃ	n. 演讲
speechless		
speed	spiːd	n. 速度 v.（使）加速
speeding		
speedy		
spell	spel	vt. 拼写
spelling		
spend	spend	n. 预算；vt. 度过，消磨（时光）；花费；浪费；用尽；vi. 花钱；用尽，耗尽
spending		
sphere		
spherical		
spice		
spicy		
spider		
spill		
spin		
spinal		
spine		
spiral		
spirit	ˈspɪrɪt	n. 精神
spiritual		
spit	spɪt	v. 吐唾沫；吐痰
spite		
splash		
splendid	ˈsplendɪd	a. 灿烂的，辉煌的；（口语）极好的
splendor		
split		
spoil		
spokesman		
spokesperson		
spokeswoman		
sponge		
spongy		
sponsor		
sponsorship		
spontaneity		
spontaneous		
spoon	spuːn	n. 匙, 调羹
spoonful		
sport	spɔːt	n. 体育运动，锻炼；(复，英)运动会
sportsman		
sportswoman		
spot	spɔt	n. 斑点，污点；场所，地点 v. 沾上污渍，弄脏
spotlight		
spouse		
sprawl		
spray		
spread	sprɛd	传播；伸展；伸展的
spring	sprɪŋ	n. 春天,春季 n. 泉水,泉
sprinkle		
spur		
spy		
squad		
square	skweə(r)	n. 广场 a. 平方的；方形的，宽而结实的（体格，肩膀）
squeeze		
stab		
stability		
stabilize		
stable	ˈstebl	马厩；牛棚；稳定的；牢固的；坚定的；被关在马厩
stack		
stadium	ˈstedɪəm	体育场；露天大型运动场
staff	stæf	职员；参谋；棒；支撑；职员的；行政工作的；供给人员；给…配备职员
stage		
stagger		
stagnant		
stagnate		
stagnation		
stain		
stainless		
stair		
staircase		
stake		
stale		
