stunning		
stupid	ˈstjuːpɪd	a. 愚蠢的，笨的
stupidity		
sturdy		
style		
stylish		
subject	ˈsʌbdʒɪkt	n. 题目；主题；学科；主语；主体
subjective		
submarine		
submerge		
submission		
submissive		
submit		
subordinate		
subordination		
subscribe		
subscriber		
subscription		
subsequent		
subsidize		
subsidy		
subsistence		
substance		
substantial		
substitute	ˈsʌbstɪtut	代用品；代替者；替代
substitution		
subtle		
subtlety		
subtract		
subtraction		
suburb		
suburban		
subway		
succeed	səkˈsiːd	vi. 成功
success	səkˈses	n. 成功
successful	səkˈsesfʊl	a. 成功的,有成就的
succession		
successive		
successor		
such	sʌtʃ	] ad. 那么 pron.（泛指）人，事物 a. 这样的，那样的
suck		
sudden	ˈsʌd(ə)n	a. 突然的
suddenly		
sue		
suffer	ˈsʌfər	vi. 遭受，忍受；受痛苦；经验；受损害；vt. 遭受；忍受；经历
suffering		
suffice		
sufficient		
sugar	ˈʃʊɡə(r)	n. 糖
suggest	səˈdʒest; (US) sə ˈdʒest	vt. 建议，提议
suggestion	səˈdʒestʃ(ə)n	n. 建议
suggestive		
suicidal		
suicide		
suit	suːt, sjuːt	vt. 适合 n. 一套（衣服）
suitable		
suitcase		
suite		
sulfur		
sulphur		
sum		
summarize		
summary		
summer	ˈsʌmə(r)	n. 夏天，夏季
summit		
summon		
sun	sʌn	n. 太阳，阳光
Sunday	ˈsʌndeɪ	n. 星期日
sunlight	ˈsʌnlaɪt	n. 日光，阳光
sunny	ˈsʌnɪ	a. 晴朗的;阳光充足的
sunrise	ˈsʌnraɪs	n. 黎明，拂晓
sunset	ˈsʌnset	n. 日落(时分)
sunshine	ˈsʌnʃaɪn	n. 阳光
super	ˈsuːpə(r), ˈsjuːpə(r)	a. 顶好的，超级的
superb		
superficial		
superintendent		
superior	səˈpɪriər	上级的；优秀的，出众的；高傲的；上级，长官；优胜者，高手；长者
superiority		
supermarket	ˈsuːpəmɑːkɪt	n. 超级市场
superstition		
superstitious		
supervise		
supervision		
supervisor		
supper	ˈsʌpə(r)	n. 晚餐，晚饭
supplement		
supplementary		
supplier		
supply	səˈplaɪ	vt.& n. 供给，供应
support	səˈpɔrt	n. 支持，维持；支援，供养；支持者，支撑物；vt. 支持，支撑，支援；扶持，帮助；赡养，供养
supporter		
supportive		
suppose	səˈpəʊz	vt. 猜想,假定,料想
supposedly		
supposition		
suppress		
suppression		
suppressive		
supremacy		
supreme		
sure	ʃʊə(r), ʃɔː(r)	a. 确信，肯定 ad. (口语)的确，一定，当然
surf	ˈsɜːf	v. 冲浪
surface		
surfing		
surge		
surgeon		
surgery		
surgical		
surname		
surpass		
surplus		
surprise	səˈpraɪz	vt. 使惊奇,使诧异 n. 惊奇,诧异
surrender		
surround	səˈraʊnd	围绕；包围；围绕物；环绕立体声的
surroundings		
surveillance		
survey	ˈsɜːveɪ	n. 调查；测量；审视；纵览；vt. 调查；勘测；俯瞰；vi. 测量土地
survival		
survive	sərˈvaɪv	vi. 幸存；活下来；vt. 幸存；生还；幸免于；比...活得长
survivor		
susceptible		
suspect	sʌspɛkt; (for v.) səˈspɛkt	嫌疑犯；可疑的；不可信的；怀疑；猜想
suspend		
suspense		
suspension	səˈspɛnʃən	悬浮；暂停；停职
suspicion		
suspicious		
sustain		
sustainability		
