sustainable		
swallow		
swallowl		
swamp		
swap		
sway		
swear		
sweat		
sweater	ˈswetə(r)	n. 厚运动衫，毛衣
sweep	swiːp	v. 扫除，扫
sweet	swiːt	n. 甜食;蜜饯;甜点;糖果;芳香 a. 甜的;可爱的;亲切的
swell		
swift		
swim	swɪm	vi. 游泳,游 n. 游泳，游
swimmer		
swimming	ˈswɪmɪŋ	n. 游泳
swing	swɪŋ	vt. 挥舞，摆动 n. 秋千
swipe		
switch	swɪʧ	n. 开关；转换；鞭子；vi. 转换；抽打；换防；vt. 转换；用鞭子等抽打
sword		
sy		
symbol	ˈsɪmbəl	n. 象征；符号；标志
symbolic		
symmetric		
symmetry		
sympathetic		
sympathize		
sympathy	ˈsɪmpəθi	n. 同情；慰问；赞同
symphony		
symposium		
symptom	ˈsɪmptəm	n. 症状；征兆
syndicate		
syndrome		
synonym		
synthesis		
synthesize		
synthetic		
system	ˈsɪstəm	n. 制度，体制；系统；方法
systematic		
systematically		
table	ˈteɪb(ə)l	n. 桌子，表格
tablet		
taboo		
tack		
tackle		
tact		
tactful		
tactic		
tag	tæg	n.附加语;标签
tail	teɪl	n. (动物的)尾巴
tailor	ˈteilə	n.裁缝vt.裁制衣服
take	teɪk	vt. 拿；拿走；做；服用；乘坐；花费
takeoff		
tale	teil	n.故事，传说
talent	ˈtælənt	n.天才;才能;人才
talented		
talk	tɔːk	vi.讲话vt.谈论
talkative		
tall	tɔːl	a. 高的
tame	teim	a.驯服的;顺从的
tan		
tangible		
tangle		
tank	tæŋk	n.坦克;大容器，槽
tanker		
tap	tæp	vt.&vi.&n.轻叩；n.塞子;龙头vt.开发
tape	teɪp	n. 磁带；录音带
target		
tariff		
task	tɑːsk; (US) tæsk	n. 任务, 工作
taste	teist	n.味觉，品味
tasty		
tax	tæks	n. 税金；重负；vt. 向…课税；使负重担
taxation		
taxi	ˈtæksɪ	n. 出租汽车
tea	tiː	n. 茶；茶叶 
teach	tiː tʃ	v. 教书,教
teacher	ˈtiːtʃə(r)	n. 教师，教员
teaching		
team	tiːm	n. 队，组
tear	teə(r)	n. 眼泪 v. 扯破, 撕开
tease	tiz	取笑；戏弄；梳理；欺负；强求；使起毛；戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
tech		
technical	ˈteknikəl	a.技术的，工艺的
technician	tekˌniʃən	n.技术员，技师
technique		
technological		
technology	tekˈnɔlədʒɪ	n. 技术
tedious	ˈtiːdiəs	a.冗长乏味的，沉闷的
teen		
teenager	ˈtiːneɪdʒə(r)	n.（13～19岁的）青少年，十几岁的少年
telecommunications		
telegram	ˈteligræm	n.电报
telephone	ˈtelɪfəun	v. 打电话 n. 电话
telescope	ˈteliskəup	n.望远镜
telescopic		
television	ˈtelɪviʒən	n. 电视
tell	tel	vt. 告诉,讲述,吩咐
teller		
telling		
temper		
temperament		
temperature	ˈtemprɪtʃə(r)	n. 温度
temple	ˈtempl	n.圣堂，神殿，庙宇
tempo		
temporal		
temporarily		
temporary	ˈtempərəri	a.暂时的，临时的
tempt	tempt	vt.引诱，诱惑;吸引
temptation	tempˌteiʃən	n.诱惑，引诱
ten	ten	num. 十
tenant		
tend	tend	vt.照管，照料，护理；vi.走向，趋向;倾向
tendency	ˈtendənsi	n.趋向，趋势，倾向
tender	ˈtendə	a.嫩的;脆弱的
tennis		
tense	tens	n.时态，时；a.拉紧的，绷紧的
tension	ˈtenʃən	n.紧张,不安,拉紧,张力
tent	tent	n. 帐篷
tentative		
tenure		
term	tɜːm	n. 学期;术语;条款;项
terminal	ˈtəːminl	a.末端的n.末端
terminate		
termination		
terrace		
terrain		
terrible	ˈterəbl	a.可怕的;极度的
terribly		
terrific		
