terrify	ˈterɪfaɪ	vt. 使人感到恐怖
territorial		
territory	ˈteritəri	n.领土，版图;领域
terror	ˈterə	n.恐怖，惊骇
terrorism		
terrorist		
tertiary		
test	test	vt.& n. 测试, 考查，试验
testify		
testimony		
text	tekst	n. 文本，课文
textbook	ˈtekstbʊk	n. 课本，教科书
textile	ˈtekstail	n.纺织品a.纺织的
texture		
than	ðen, ðæn	conj. 比
thank	θæŋk	vt. 感谢，致谢，道谢 n.（复）感谢，谢意
thankful	ˈθæŋkfʊl	a. 感谢的，感激的
Thanksgiving		
that	ðæt	a.& pron.那，那个 conj. 那，那个 ad. 那么，那样
the		Pacific Ocean [ðə pəˈsɪfɪkˈəʊʃ (ə)n] 太平洋
theater		
theatrical		
theft	θɛft	盗窃；偷；赃物
their	ðeə(r)	pron. 他(她,它)们的
theirs	ðeəz	pron. 他（她,它）们的
them	ð(ə)m, ðem	pron. 他/她/它们（宾格）
theme		
themselves	ðəmˈselvz	pron. 他/她/它们自己
then	ðen	ad. 当时,那时,然后,那么
theoretical	θiəˌretikəl	a.理论(上)的
theory	ˈθɪri	n. 理论；原理；学说；推测
therapeutic		
therapist		
therapy		
there	ðeə(r)	int. 那!你瞧! n. 那里,那儿 ad. 在那里,往那里
thereby	ˈðeəˌbai	ad.因此，从而，由此
therefore	ˈðeəfɔː	ad.因此，所以
thermal		
thermometer	θəˌmɔmitə	n.温度计，寒暑表
these	ðiːz	a. & pron. 这些
thesis		
they	ðeɪ	pron. 他（她）们；它们
thick	θɪk	a. 厚的
thickness	ˈθiknis	n.厚(度);密(度)
thief	θiːf	n. 窃贼, 小偷
thigh		
thin	θɪn	a. 薄的；瘦的；稀的
thing	θɪŋ	n. 东西；(复)物品，用品；事情，事件
think	θɪŋk	v. 想；认为；考虑
thinking	ˈθɪŋkɪŋ	思考的；思想的；有理性的；好思考的；思考；思想；想法；意见；见解；思考（think的现在分词）
third	θəːd	num. 第三
thirst	θəːst	n. 渴；口渴
thirsty	ˈθəːstɪ	a. 渴
thirteen	θəːtiːn	num. 十三
thirty	ˈθəːtɪ	num. 三十
this	ðɪs	a.& pron.这，这个
thorn		
thorny		
thorough	ˈθʌrə	a.彻底的;详尽的
those	ðəʊz	a.& pron. 那些
though	ðəʊ	conj. 虽然，可是
thought	θɔːt	n. 思考,思想;念头
thoughtful	ˈθɔːtful	a.沉思的;体贴的
thousand	ˈθaʊzənd	num. 千
thread	θred	n.线;丝;螺纹;头绪
threat	θret	n.威胁，恐吓，凶兆
threaten	ˈθretn	vt.&vi.威胁，恐吓
three	θriː	num. 三
threshold		
thrift		
thrifty		
thrill		
thriller		
thrive	θraiv	vi.兴旺，繁荣，旺盛
throat	θrəut	n.咽喉，喉咙;嗓音
throne		
through	θruː	prep. 穿（通）过;从始至终 ad. 穿(通)过;自始至终,全部
throughout	θruːˌaut	prep.遍及ad.到处
throw	θrəʊ	v. 投,掷,扔
thrust	θrʌst	vt.插，刺n.插;讽刺
thumb		
thunder	ˈθʌndə	n.雷vi.打雷vt.吼出
thunderous		
Thursday	ˈθəːzdeɪ	n. 星期四
thus	ðʌs	ad.如此，这样;因而
tick	tɪk	vt. 作记号 n. 记号,符号,滴答声
ticket	ˈtɪkɪt	n. 票；卷
tickle		
tidal		
tide	taid	n.潮，潮汐;潮流
tidy	ˈtaidi	a.整洁的;整齐的
tie	taɪ	vt.（用绳，线）系，拴，扎 n. 领带，绳子，结；关系
tiger	ˈtaɪɡə(r)	n. 老虎
tight	taɪt	adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的；adv. 紧紧地；彻底地
tighten		
tigress		
tile		
till	tɪl	conj.& prep. 直到,直到…为止
tilt		
timber		
time	taɪm	n. 时间;时期;钟点,次,回 vt. 测定…的时间,记录…的时间
timely		
timid		
timing		
tin	tin	n.锡;罐头
tiny	ˈtaɪni	微小的；很少的
tip	tip	vt.轻击vi.给小费
tire	ˈtaiə	vi.疲劳，累;厌倦
tired	ˈtaɪəd	a. 疲劳的，累的
tireless		
tiresome		
tiring		
tissue	ˈtisjuː	n.薄绢;薄纸;组织
title		
to	tʊ, tuː	prep. 给；对，向，到
toast	təust	n.烤面包vt.烘，烤；n.祝酒;祝酒词
tobacco	təˈbækəʊ	n. 烟草，烟叶；烟草制品；抽烟
today	tədei	ad.& n. 今天;现在,当前
toe	təu	n.脚趾，足尖
together	təˈgeðə	ad. 一起，共同
toil		
toilet	ˈtɔilit	n.厕所，盥洗室，浴室
token		
tolerable		
tolerance	ˈtɔlərəns	n.忍受，容忍;公差
tolerant		
tolerate	ˈtɔləreit	vt.忍受，容忍，宽恕
toll		
tomato	təˈmɑːtəʊ; (US) təˈmeɪtəʊ	n. 西红柿，番茄
tomorrow	təˈmɔrəʊ	ad. & n. 明天
