ton	tʌn	n.（重量单位）吨
tone	təun	n.音;腔调;声调
tongue	tʌŋ	n. 舌，舌头
tonight	təˈnaɪt	ad.& n. 今晚，今夜
tonnage		
too	tuː	ad. 也,还,又,太,非常
tool	tuːl	n. 工具，器具
tooth	tuːθ	n. 牙齿
top	tɔp	n. 顶部,（物体的）上面
topic		
topical		
topple		
torch	tɔːtʃ	n.火炬，火把;手电筒
tornado		
torture	ˈtɔːtʃə	n.拷问;折磨vt.拷打
toss		
total	ˈtəutl	a.总的vi.合计，总共
touch	tʌtʃ	vt.触摸;触动;感动n.触
tough	tʌf	a.坚韧的;健壮的
tour	tuə	n.&vi.旅行，游历
tourism	ˈtʊərɪz(ə)m	n. 旅游业；观光
tourist	ˈtuərist	n.旅游者，观光者
tournament		
tow		
toward	təˈwɔːd(z)	prep. 向，朝，对于
towel	ˈtauəl	n.毛巾，手巾
tower	ˈtauə	n.塔vi.屹立，高耸
town	taʊn	n. 城镇，城
township		
toxic		
toy	tɔɪ	n. 玩具, 玩物
trace	treis	n.痕迹;丝毫vt.跟踪
track	træk	n.行踪;路径;轨道
tract		
tractor	ˈtræktə	n.拖拉机;牵引车
trade	treid	n.贸易;职业vi.交易
trademark		
tradition	trəˈdɪʃ (ə)n	n. 传统，风俗
traditional	trəˈdɪʃ(ə)n(ə)l	a. 传统的，风俗的，惯例的
traffic	ˈtræfik	n.交通，通行;交通量
trafficking		
tragedy	ˈtrædʒidi	n.悲剧;惨事，惨案
tragic		
tragically		
trail	treil	n.痕迹;小径vt.跟踪
trailer		
train	treɪn	n. 火车 v. 培训,训练
trainee		
trainer	treɪnə(r)	n. 训练人；教练
training	ˈtreɪnɪŋ	n. 培训
trait		
tram		
tranquil		
tranquility		
transaction		
transcend		
transcript		
transfer	trænsˌfəː	vt.转移;调动vi.转移
transference		
transform	trænsˌfɔːm	vt.改变;改造;变换
transformation	trænsfəˌmeiʃən	n.变化;改造;转变
transformer	trænsˌfɔːmə	n.变压器，转换器
transient		
transistor	trænˌsistə	n.晶体管
transit		
transition		
transitional		
translate	trænsˈleɪt	vt. 翻译
translation		
translator		
transmission	trænzˌmiʃən	n.传送;传动;发射
transmit	trænzˌmit	vt.传送，传达;发射
transmitter		
transparency		
transparent	trænsˌpeərənt	a.透明的;易识破的
transplant		
transplantation		
transport	trænsˌpɔːt	vt.运输n.运输
transportation	trænspɔːˌteiʃən	n.运输，运送，客运
trap	træp	n.陷阱;诡计vt.诱骗
trash		
trauma		
traumatic		
travel	ˈtræv(ə)l	n.& vi. 旅行
tray	trei	n.(浅)盘，托盘，碟
tre		
tread		
treasure	ˈtreʒə	n.财富;珍宝vt.珍视
treasurer		
treasury		
treat	triːt	vt.对待;处理n.款待
treatment	ˈtriːtmənt	n.待遇;治疗，疗法
treaty	ˈtriːti	n.条约;协议，协定
tree	triː	n. 树
trek		
tremble	ˈtrembl	vi.发抖，哆嗦;摇动
tremendous	triˌmendəs	a.极大的，非常的
trench		
trend	trend	vi.伸向;倾向n.倾向
trial	ˈtraiəl	n.试，试验;审判
triangle	ˈtraiængl	n.三角(形)
triangular		
tribal		
tribe		
tribune		
tribute		
trick	trik	n.诡计;窍门vt.哄骗
trickle		
tricky		
trifle		
trigger		
trillion		
trim	trim	a.整齐的vt.使整齐
trip	trɪp	n. 旅行，旅程
triple		
triumph	ˈtraiəmf	n.凯旋;胜利vi.成功
triumphant		
trivial		
trolley		
troop	truːp	n.军队;一群，大量
trophy		
tropic		
tropical	ˈtrɔpikəl	a.热带的
trouble	ˈtrʌb(ə)l	vt. 使苦恼,使忧虑,使麻烦 n. 问题,疾病,烦恼,麻烦
troublesome	ˈtrʌblsəm	a.令人烦恼的;麻烦的
trousers	ˈtraʊzəz	n. 裤子，长裤
truck	trʌk	n. 卡车, 运货车；车皮
true	truː	a. 真的，真实的；忠诚的
truly		
trumpet	ˈtrʌmpit	n.喇叭，小号
