trunk	trʌŋk	n.树干;大衣箱，皮箱
trust	trʌst	n.信任vt.相信;委托
trustee		
truth	truːθ	n.真理;真实;真实性
truthful		
try	trai	v. 试，试图，努力
trying		
tub		
tube	tjuːb	n.管;电子管，显像管
tuck		
Tuesday	ˈtjuːzdeɪ	n. 星期二
tug		
tuition	tjuˈɪʃən	n. 学费；讲授
tumble		
tumor		
tune	tjuːn	n.调子;和谐vt.调谐
tunnel	ˈtʌnl	n.隧道，坑道，地道
turbine	ˈtəːbin	n.叶轮机，汽轮机
turbulence		
turbulent		
turkey	ˈtɜːkɪ	n. 火鸡
turmoil		
turn	tɜːn	v. 旋转，翻转，转变，转弯 n. 轮流，顺序
turnout		
turnover		
turtle		
tutor		
tutorial		
TV		= television [tiː'viː] n. 电视机
twelfth	twelfθ	num. 第十二
twelve	twelv	num. 十二
twentieth	ˈtwentɪɪθ	vnum. 第二十
twenty	ˈtwentɪ	num. 二十
twice	twaɪs	ad. 两次；两倍
twin	twin	a.孪生的n.孪生儿
twist	twist	vt.捻;拧vi.&n.扭弯
two	tuː	num. 二
type	taip	n.型，类型vi.打字
typewriter	ˈtaipraitə	n.打字机
typical	ˈtipikəl	a.典型的，代表性的
typist	ˈtaipist	n.打字员
tyre	ˈtaiə	n.轮胎，车胎
ugliness		
ugly		
ultimate	ˈʌltimit	a.最后的，最终的
ultimately		
ultra		
umbrella	ʌmˈbrelə	n. 雨伞
unanimous		
uncertain	ənˈsɜrtən	adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainty		
uncle	ˈʌŋk(ə)l	n. 叔,伯,舅,姑夫,姨父
unconscious	ʌnˌkɔʃəs	a.不省人事的
uncover	ʌnˌkʌvə	vt.揭开…的盖子
under	ˈʌndə(r)	ad.& prep. 在…下面，向…下面
underdeveloped		
underestimate		
undergo	ʌndəˌgəu	vt.经历，经受，忍受
undergraduate	ʌndəˌgrædjuit	n.大学在校生
underground	ʌndəˈɡraʊnd	a. 地下的 n. 地铁
underlie		
underline	ʌndəˌlain	vt.划线于…之下
underlying		
undermine		
underneath	ʌndəˌniːθ	ad.在下面，在底下
understand	ʌndəˈstænd	v. 懂得;明白;理解
understanding	ʌndəˈstændɪŋ	n. 领会;理解
undertake	ʌndəˌteik	vt.从事;承担;保证
undertaking		
underwear		
undo	ˈʌnˌduː	vt.解开，打开;取消
undoubtedly	ʌnˌdautidli	ad.无容置疑，肯定地
uneasy	ʌnˌiːzi	a.心神不安的，忧虑的
unemployed		
unemployment	ˌʌnɪmˈplɔɪmənt	n. 失业；失业率；失业人数
unexpected	ˈʌniksˌpektid	a.想不到的，意外的
unfold		
unification		
uniform	ˈjuːnifɔːm	a.一样的n.制服
uniformity		
unify		
unilateral		
union	ˈjuːnjən	n.联合;团结;协会
unique	juːˌniːk	a.唯一的，独一无二的
unit	ˈjuːnit	n.单位;单元;部件
unite	juˌnait	vi.联合vt.使联合
unity	ˈjuːniti	n.单一;统一;团结
universal	juːniˌvəːsəl	a.宇宙的;普遍的
universe	ˈjuːnɪvɜːs	n. 宇宙
university	juːnɪˈvɜːsɪtɪ	n. 大学
unknown	ˈʌnˌnəun	a.不知道的;未知的
unleash		
unless	ˈʌnˌles	conj.除非，如果不
unlike	ˈʌnˌlaik	a.不同的prep.不象…
unlikely	ʌnˌlaikli	a.未必的，未必可能的
unload	ʌnˌləud	vt.卸(货)vi.卸货
unprecedented		
until	ʌnˈtɪl	prep.& conj. 直到…为止
unveil		
up	ʌp	ad. 向上;在上方 prep. 向(高处);向(在)…上(面)游
up-to-date	ˈʌptəˌdeit	a.直到最近的，现代的
update	ˌʌpˈdeɪt	n. 更新；现代化；vt. 更新；校正，修正；使现代化
upgrade		
uphold		
upload		
upon	əˈpɔn	prep. 在…上面
upper	ˈʌpə	a.上面的;地位较高的
upright	ˈʌprait	a.垂直的;正直的
uprising		
upset	ʌpˌset	vt.弄翻，打翻，倾覆
upstairs	ʌpˈsteəz	ad. 在楼上，到楼上
upward	ˈʌpwəd	a.向上的，上升的
upwards		
uranium		
urban	ˈəːbən	a.都市的,住在都市的
urbanization		
urbanize		
urge	əːdʒ	vt.推进;催促n.冲动
urgency		
urgent	ˈəːdʒənt	a.紧急的;强求的
urinate		
urine		
us		
usage	ˈjuːzidʒ	n.使用，对待;惯用法
use	juːz	vt. 利用,使用,应用 n. [juːs] 用法,应用,运用
used	juːzd	a. 用过的;旧的;二手的
useful	ˈjuːsful	a. 有用的，有益的
useless	ˈjuːslɪs	a. 无用的
user	ˈjuːzə	n. 使用者；用户
usual	ˈjuːʒʊəl	a. 通常的，平常的
