usually	ˈjuːʒʊəlɪ	ad. 通常，经常
utility	juːˌtiliti	n.效用，有用，实用
utilization		
utilize	ˈjuːtilaiz	vt.利用
utmost	ˈʌtməust	a.最远的n.极限
utter	ˈʌtə	a.完全的，彻底的vt.发出，说，讲
utterly		
vacancy		
vacant	ˈveikənt	a.空的;未被占用的
vacation		
vaccinate		
vaccination		
vaccine		
vacuum	ˈvækjuəm	n.真空;真空吸尘器
vague	veig	a.模糊的，含糊的
vain	vein	a.徒劳的;自负的
valid	ˈvælid	a.有效的;正当的
validate		
validity		
valley	ˈvælɪ	n. 山谷, 溪谷
valuable	ˈvæljəbəl	n. 贵重物品；adj. 有价值的；贵重的；可估价的
value	ˈvæljuː	n.价值;价格vt.评价
valve		
van	væn	n.大篷车，运货车
vanish	ˈvæniʃ	vi.突然不见，消失
vanity		
vapor		
vapour	ˈveipə	n.汽，蒸气
variable	ˈveəriəbl	a.易变的n.变量
variant		
variation	veəriˌeiʃən	n.变化，变动;变异
variety	vəˌraiəti	n.多样化;种类;变种
various	ˈveəriəs	a.各种各样的，不同的
vary	ˈveəri	vt.改变;使多样化
vast	vaːst	a.巨大的;大量的
vegetable	ˈvedʒɪtəb(ə)l	n. 蔬菜
vegetarian		
vegetation		
vehicle	ˈviːikl	n.车辆，机动车
veil		
vein		
velocity	viˌlɔsiti	n.速度，速率
velvet		
vendor		
vent		
ventilate		
ventilation		
venture	ˈventʃə	n.&vi.冒险vt.敢于
venue		
verb		
verbal		
verdict		
verge		
verification		
verify	ˈverifai	vt.证实，查证;证明
versatile		
verse		
version	ˈvəːʃən	n.译文;说法;改写本
versus		
vertical	ˈvəːtikəl	a.垂直的，竖式的
very	ˈverɪ	ad. 很，非常
vessel	ˈvesl	n.容器;船，飞船;管
vest		
veteran	ˈvetərən	n.老兵，老手
veto		
via	ˈvaiə	prep.经过;通过
viable		
vibrate	vaiˌbreit	vt.使颤动vi.颤动
vibration		
vice	vais	n.罪恶;恶习;缺点；n.(老)虎钳
vicinity		
vicious		
victim	ˈvɪktɪm	n. 受害者，牺牲品
victimize		
victorious		
victory		
video	ˈvɪdɪəʊ	n. 录像，视频
view	vjuː	n. 观察；视野；意见；风景；vt. 观察；考虑；查看
viewpoint		
vigor		
vigorous	ˈvigərəs	a.朝气蓬勃的
village	ˈvɪlɪdʒ	n. 村庄，乡村
villager	'vilidʒə	n. 村民
vinegar	ˈvinigə	n.醋
violate		
violation		
violence	ˈvaɪələns	n. 暴力；侵犯；激烈；歪曲
violent	ˈvaiələnt	a.猛烈的;狂暴的
violet	ˈvaiəlit	n.紫罗兰
violin	vaɪəˈlɪn	n. 小提琴
violinist		
virgin		
virginity		
virtual		
virtually	ˈvəːtjuəli	ad.实际上，事实上
virtue	ˈvəːtjuː	n.善;美德;优点
virtuous		
virus		
visa		
visibility		
visible	ˈvizəbl	a.可见的，看得见的
vision	ˈviʒən	n.视;想象力;梦幻
visionary		
visit	ˈvizit	n.& vt. 参观，访问，拜访
visitor	ˈvɪzɪtə(r)	n. 访问者，参观者
visual	ˈvizjuəl	a.看的;看得见的
visualize		
vital	ˈvaitl	a.生命的;有生命力的
vitality		
vitamin	ˈvitəmin	n.维生素，维他命
vivid	ˈvivid	a.鲜艳的;生动的
vocabulary		
vocal		
vocation		
vocational		
vogue		
voice	vɔɪs	n. 说话声; 语态
void		
volatile		
volatility		
volcanic		
volcano	vɔlˌkeinəu	n.火山
volleyball	vɔlibɔːl	n. 排球
volt	vəult	n.伏特，伏
voltage	ˈvaultidʒ	n.电压
volume	ˈvɔljum	n.卷，册;容积;音量
voluminous		
voluntary	ˈvɔləntəri	a.自愿的，志愿的
volunteer	valənˌtɪə	n.志愿者 v. 自愿做某事
vote		
