voter		
voucher		
vow		
voyage	vɔidʒ	n.&vi.航海，航空
vulgar		
vulnerability		
vulnerable		
wage	weidʒ	vt.开展(运动)
waggon	ˈwægən	n.四轮运货马车
wagon		
waist		
wait	weɪt	vi. 等，等候
waiter		
waitress		
waive		
waiver		
wake	weɪk	v. 醒来,叫醒
waken	ˈweikən	vi.醒来vt.弄醒
walk	wɔːk	n.& v. 步行；散步
wall		
wallet	ˈwɔlɪt	n. (放钱,证件等的)皮夹
wander	ˈwɔndə	vi.漫游;迷路;离题
want	wɔnt	n.需要;缺乏
war	wɔː(r)	n. 战争
ward		
wardrobe		
ware		
warehouse	ˈwɛrhaʊs	仓库；货栈；大商店
warfare		
warm	wɔːm	a. 暖和的,温暖的;热情的
warmth	wɔːmθ	n.暖和，温暖;热烈
warn	wɔrn	vt. 警告，提醒；通知；vi. 发出警告，发出预告
warning	ˈwɔːnɪŋ	n. 警报
warrant		
warranty		
warrior		
wary		
wash		
washing		
waste	weɪst	n.& vt. 浪费
wasteful		
watch	wɔtʃ	vt. 观看，注视；当心，注意 n. 手表，表
watchful		
water	ˈwɔːtə	n.水vt.使湿，灌溉
waterproof	ˈwɔːtəpruːf	a.不透水的，防水的
watertight		
watt		
wave	weiv	n.波;波涛vi.波动
wavy		
wax	wæks	n.蜡，蜂蜡
way	weɪ	n. 路，路线；方式，手段
we	wiː, wɪ	pron. 我们
weak	wiːk	a. 差的，弱的，淡的
weaken	ˈwiːkən	vt.削弱vi.变弱
weakness	ˈwiːknis	n.虚弱，软弱;弱点
wealth	wɛlθ	n. 财富；大量；富有
wealthy	ˈwelθi	n. 富人；adj. 富有的；充分的；丰裕的
weapon		
wear	weə	vt.磨损
weariness		
weary		
weather	weðə(r)	n. 天气
weave	ˈwiːv	vt.织，编vi.纺织
web	wɛb	网；卷筒纸；蹼；织物；圈套；用网缠住；使中圈套
webcast		
website		
wed		
wedding		
wedge		
Wednesday	ˈwenzdeɪ	n. 星期三
weed	wiːd	n.杂草，野草vi.除草
week	wiːk	n. 星期，周
weekday	ˈwiːkdeɪ	n. 平日,工作日
weekend	wiːkˈend, ˈwiːkend	n. 周末
weekly		
weep	wiːp	vi.哭泣，流泪
weigh	weɪ	vt. 称…的重量，重（若干）
weight	weɪt	n. 重，重量
weird		
welcome	ˈwelkəm	int.n. & v. 欢迎 a. 受欢迎的
weld	weld	vt.&n.焊接，熔接
welfare	ˈwelfeə	n.幸福，福利
well	wel	(better, best) ad. 好 a.好的,健康的 int. 好吧,那么,哎呀 n. 井
well-being		
well-known	wel- nəʊn	a. 出名,众所周知的
well-off		
west	west	a. (在)西；向西,从西来的 ad. 在西方,向西方 n. 西部；西方
western	ˈwest(ə)n	a. 西方的，西部的
westerner	'westənə	n. 西方人
wet	wet	a. 湿的,潮的,多雨的
whale		
wharf		
what	wɔt; (US) hwɑt	pron. 什么,怎么样 a. 多么，何等；什么
whatever	wɔtˈevə(r)	conj. & pron. 无论什么，不管什么
whatsoever		
wheat	wiːt	n.小麦
wheel	wiːl	n.轮，车轮
when	wen	conj. 当…的时候 ad. 什么时候，何时
whenever	wenˈevə(r)	conj. 每当，无论何时
where	weə(r); (US) hweər	ad. 在哪里；往哪里
whereabouts		
whereas		
whereby		
wherever	weərˈevə(r)	conj. 无论在哪里
whether	ˈweðə(r); (US) ˈhweðər	conj. 是否
which	wɪtʃ; (US) hwɪtʃ	pron. 哪一个；哪些
whichever	wɪtʃˈevə(r)	pron. 无论哪个;无论哪些
while	waɪl; (US) hwaɪl	conj. 在…的时候,和…同时 n. 一会儿，一段时间
whilst	ˈwailst	conj.&n.当…的时候
whip	wip	vt.鞭笞;搅打n.鞭子
whirl		
whisky		
whisper	ˈwispə	vt.低声地讲vi.低语
whistle	ˈwisl	n.口哨vi.吹口哨
white	waɪt; (US) hwaɪt	a. 白色的 n. 白色
who	huː	pron. 谁
whoever		
whole	həʊl	a. 整个的
wholesale		
wholesome		
wholly	ˈhəuli	ad.完全地，全部
whom	huːm	pron. (who的宾格 )
whose	huːz	pron. 谁的
why	waɪ; (US) hwaɪ	ad./ int. 为什么, 你难道不知道（表示反驳、不耐烦等）
wicked	ˈwikid	a.坏的;令人厌恶的
wide	waid	a. 宽阔的
widen	ˈwaidn	vt.加宽vi.变宽
widespread		
widow	ˈwidəu	n.寡妇
widower		
