width	widθ	n.宽阔，广阔;宽度
wield		
wife	waɪf	n. 妻子
wild	waɪld	n. 荒野；adj. 野生的；野蛮的；狂热的；荒凉的；adv. 疯狂地；胡乱地
wilderness		
wildlife	ˈwaɪldlaɪf	野生动植物；野生动植物的
will	wɪl	n. 意志, 遗嘱
willing	ˈwiliŋ	a.愿意的，心甘情愿的
willingness	ˈwɪlɪŋnɪs	乐意；心甘情愿；自动自发
willpower		
win	wɪn	n. 获胜，赢得 
wind	waind	vt.绕，缠绕vi.卷曲
window	ˈwɪndəʊ	n. 窗户；计算机的窗
windy	ˈwɪndɪ	a. 有风的，多风的
wine	waɪn	n. 酒
winery		
wing	wiŋ	n.翼，翅膀，翅
wink		
winner	ˈwɪnə(r)	n. 获胜者
winter	ˈwɪntə(r)	n. 冬天，冬季
wipe	waɪp	n. 擦拭；用力打；vi. 擦；打；vt. 擦；消除；涂上
wire	ˈwaiə	n.金属线;电缆;电信
wireless		
wisdom		
wise		
wish	wɪʃ	n. 愿望，祝愿 vt. 希望，想要，祝愿
wit	wit	n.智力，才智，智能
witch		
with	wɪð	prep.关于,带有,以,和,用,有
withdraw	wiðˌdrɔː	vt.收回;撤回vi.撤退
withdrawal		
wither		
withhold		
within		
without	wɪðaʊt	prep. 没有
withstand	wiðˌstænd	vt.抵挡，反抗
witness	ˈwitnis	n.证据;证人vt.目击
witty		
wolf		（复wolves）[wʊlf] n. 狼
woman	ˈwʊmən	n. 妇女，女人
wonder	ˈwʌndə(r)	v. 对…疑惑，感到惊奇,想知道 n. 惊讶,惊叹;奇迹
wonderful	ˈwʌndəfʊl	a. 美妙的，精彩的；了不起的；太好了
wood	wud	n.木头,木材,(复)树木,森林
wooden	ˈwudn	a.木制的;呆板的
wool	wul	n.羊毛;毛线，绒线
woolen	'wulin	a. 羊毛的，羊毛制的
word	wəːd	n. 词，单词；话
wording		
work	wəːk	n. 工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动
worker	wəːkə(r)	n. 工人；工作者
workforce	ˈwɜːkfɔːs	n. 劳动力；工人总数，职工总数
workman	ˈwəːkmən	n.工人，劳动者，工匠
workout		
workshop	ˈwəːkʃɔp	n.车间，工场;创作室
world	wəːld	n. 世界
world-wide	ˈwəːldwaid	a.遍及全球的
worldwide	ˈwɝldwaɪd	全世界的；在世界各地
worm	wəːm	n.虫，蠕虫
worried	'wʌrɪd	a. 担心的，烦恼的
worry	wʌrɪ	n.& v. 烦恼,担忧,发怒,困扰
worse	wəːs	a. (bad的比较级)更坏的
worship	ˈwəːʃip	n.礼拜;崇拜vt.崇拜
worst	wəːst	a.最坏的ad.最坏地
worth	wəːθ	a.值…的n.价值
worthiness		
worthless	ˈwəːθlis	a.无价值的，无用的
worthwhile	ˈwəːθˌwail	a.值得花时间的
worthy	ˈwəːði	a.有价值的;值得的
would	wəd, wud	modal v.（will的过去时）将会,打算,想要,过去常常
wound	wuːnd	n.创伤，伤vt.使受伤
wrap	ræp	vt.裹，包，捆n.披肩
wrapping		
wreck	rek	n.失事;残骸vt.破坏
wreckage		
wrench		
wrestle		
wrestling		
wretched		
wrinkle		
wrist	rist	n.腕，腕关节
write	raɪt	(wrote, written) v. 写，书写；写作，著述
writer		
writing		
wrong	rɔŋ	a. 错误,不正常,有毛病的
X-ray	ˈeksˌrei	n.X射线，X光
xion		
yacht		
yard	jaːd	n.院子，庭院;场地；n.码
yawn	jɔːn	vi.打呵欠n.呵欠
yeah		
year	jɪə(r), jəː(r)	n. 年
yearly	ˈjəːli	a.每年的ad.一年一度
yearn		
yearning		
yell	yel	大叫，叫喊；喊声，叫声
yellow	ˈjeləʊ	a. 黄色的
yes	jes	ad. 是，好，同意
yesterday	ˈjestədeɪ	n.& ad. 昨天
yet	jet	ad. 尚，还，仍然
yield	jiːld	vt.&vi.出产n.产量
yoga		
yoghurt		
you	juː, jʊ	pron. 你；你们
young	jʌŋ	a. 年轻的
youngster		
your	jɔː	pron. 你的；你们的
yours	jɔːz, jʊəz	pron. 你的；你们的
yourself	jɔːˈself; (US) jʊərˈself	pron. 你自己
yourselves	jɔːˈselvz; (US) jʊərˈselvz	pron. 你们自己
youth	juːθ	n.青春;青年们;青年
youthful		
yse		
zeal		
zealous		
zero	ˈzɪərəʊ	n. & num. 零,零度,零点
zigzag		
zip		
zipper		
zone	zəun	n.地区，区域，范围
zoo	zuː	n. 动物园
zoological		
zoology		
zoom		
