a		art.一(个)；每一(个)	3			
abandon	əˈbændən	vt.丢弃；放弃，抛弃	1			
ability	əˈbiliti	n.能力；能耐，本领	2	hab		
able	ˈeibl	a.有能力的；出色的	3	hab		
abnormal	æbˈnɔːməl	a.不正常的；变态的	1			
aboard	əˈbɔːd	ad.在船(车)上；上船	2			
about	ˈəbaut	prep.关于；在…周围	3			
above	əˈbʌv	prep.在…上面；高于	3			
abroad	əˈbrɔːd	ad.(在)国外；到处	2			
absence	ˈæbsəns	n.缺席，不在场；缺乏	1			
absent	ˈæbsənt	a.不在场的；缺乏的	2			
absolute	ˈæbsəluːt	a.绝对的；纯粹的	2	solv		
absolutely	ˈæbsəluːtli	ad.完全地；绝对地	2	solv		
absorb	əbˈsɔːb	vt.吸收；使专心	2			
abstract	ˈæbstrækt	a.抽象的 n.摘要	1	tract		
abundant	əˈbʌndənt	a.丰富的；大量的	1			
abuse	əˈbjuːz	vt.滥用；虐待 n.滥用	1			
academic	ˌækəˈdemik	a.学院的；学术的	1			
academy	əˈkædəmi	n.私立中学；专科院校	1			
accelerate	ækˈseləreit	vt.(使)加快；促进	1	celer		
acceleration	ækˌseləˈrei∫ən	n.加速(度)	1	celer		
accent	ˈæksənt	n.口音，腔调；重音	2			
accept	əkˈsept	vt.vi.接受；同意	2	cap		
acceptable	əkˈseptəbl	a.可接受/合意的	1	cap		
acceptance	əkˈseptəns	n.接受，验收；承认	1	cap		
access	ˈækses	n.接近；通道，入口	1	ced		
accessory	ækˈsesəri	n.同谋，从犯；附件	1	ced		
accident	ˈæksidənt	n.意外的；事故	2	cad		
accidental	ˌæksiˈdentl	a.偶然的；非本质的	1	cad		
accommodate	əˈkɔmədeit	vt.容纳;供应,供给	1			
accommodation	əˌkɔməˈdei∫ən	n.招待设备；预定铺位	1			
accompany	əˈkʌmpəni	vt.陪伴，陪同；伴随	1			
accomplish	əˈkɔmpli∫	vt.达到(目的)；完成	1	ple		
accord	əˈkɔːd	vt.使一致；给予	1			
accordance	əˈkɔːdəns	n.一致；和谐；授予	1			
accordingly	əˈkɔːdiŋli	ad.因此，所以；照着	1			
account	əˈkaunt	n.记述；解释；帐目	2			
accumulate	əˈkjuːmjuleit	vt.积累 vi.堆积	1			
accuracy	ˈækjurəsi	n.准确(性)；准确度	1	cur		
accurate	ˈækjurit	a.准确的，正确无误的	1	cur		
accuse	əˈkjuːz	vt.指责；归咎于	1			
accustom	əˈkʌstəm	vt.使习惯	1			
accustomed	əˈkʌstəmd	a.惯常的；习惯的	1			
ache	eik	vi.痛；想念 n.疼痛	2			
achieve	əˈt∫iːv	vt.完成，实现；达到	2			
achievement	əˈt∫iːvmənt	n.完成；成就/绩	1			
acid	ˈæsid	n.酸；酸的，酸性的	1			
acquaintance	əˈkweintəns	n.认识;了解;熟人	1	cogn		
acquire	əˈkwaiə	vt.取得；获得；学到	1	quir		
acre	ˈeikə	n.英亩(=6.07 亩)	1			
across	əˈkrɔs	prep.横过；在…对面	3			
act	ækt	vi.行动；见效 n.行为	2	act		
action	ˈæk∫ən	n.行动；作用；功能	2	act		
active	ˈæktiv	a.活跃的；积极的	2	act		
activity	ækˈtiviti	n.活动；活力；行动	2	act		
actor	ˈæktə	n.男演员；演剧的人	2	act		
actress	ˈæktris	n.女演员	2	act		
actual	ˈæktjuəl	a.实际的；现行的	1	act		
actually	ˈækt∫uəli	ad.实际上；竟然	2	act		
acute	əˈkjuːt	a.尖的，锐的；敏锐的	1			
ad	æd	n.广告	2			
adapt	əˈdæpt	vt.使适应；改编	1			
add	æd	vt.添加，附加，掺加	3			
addition	əˈdi∫ən	n.加，加法；附加物	2			
additional	əˈdi∫ənl	a.附加的，追加的	1			
address	əˈdres	n.地址；演说；谈吐	2			
adequate	ˈædikwit	a.足够的；可以胜任的	1	equ		
adjective	ˈædʒiktiv	n.形容词 a.形容词的	1	ject		
adjust	əˈdʒʌst	vt.调整，调节；校正	1	jud		
administration	ədminisˈtrei∫ən	n.管理；管理部门	1			
admire	ədˈmaiə	vt.钦佩，羡慕，赞赏	1			
admission	ədˈmi∫ən	n.允许进入；承认	1	mit		
admit	ədˈmit	vt.承认；准许…进入	1	mit		
adopt	əˈdɔpt	vt.收养；采用；采取	1	opt		
adult	ˈædʌlt	n.成年人 a.成年的	2			
advance	ədˈvɑːns	vi.前进；提高 n.进展	1			
advanced	ədˈvɑːnst	a.先进的；高级的	1			
advantage	ədˈvɑːntidʒ	n.优点，优势；好处	1			
adventure	ədˈvent∫ə	n.冒险；惊险活动	1	ven		
adverb	ˈædvəːb	n.副词	1	verb		
advertisement	ədˈvəːtismənt	n.广告；公告；登广告	1	vert		
advice	ədˈvais	n.劝告；忠告；意见	2	vid		
advisable	ədˈvaizəbl	n.明智的；可取的	1	vid		
advise	ədˈvaiz	vt.劝告；建议；通知	1	vid		
aeroplane	ˈeərəplein	n.飞机	1	aer		
affair	əˈfeə	n.事情，事件；事务	1			
affect	əˈfekt	vt.影响；感动	1	fac		
affection	əˈfek∫ən	n.慈爱，爱；爱慕	1	fac		
afford	əˈfɔːd	vt.担负得起…；提供	1			
afraid	əˈfreid	a.害怕的；担心的	3			
africa	ˈæfrikə	n.非洲	3			
african	ˈæfrikən	a.非洲的 n.非洲人	3			
after	ˈɑːftə	prep.在…以后；次于	3			
afternoon	ˈɑːftəˈnuːn	n.下午，午后	3			
afterward	ˈɑːftəwəd	ad.后来，以后	2			
again	əˈgein	ad.又一次；而且	3			
against	əˈgeinst	prep.倚在；逆，对着	3			
age	eidʒ	n.年龄；时代 vt.变老	3			
agency	ˈeidʒənsi	n.经办；代理；代理处	1	act		
agent	ˈeidʒənt	n.代理人，代理商	1	act		
aggressive	əˈgresiv	a.侵略的；好斗的	1	grad		
ago	əˈgəu	ad.以前	3			
agony	ˈægəni	n.极度痛苦	1			
agree	əˈgriː	vi.同意；持相同意见	2	grat		
agreement	əˈgriːmənt	n.协定，协议；同意	2	grat		
agriculture	ˈægrikʌlt∫ə	n.农业，农艺；农学	1			
ahead	əˈhed	ad.在前；向前；提前	2			
aid	eid	n.帮助，救护；助手	1			
aim	eim	vi.瞄准，针对；致力	2			
air	eə	n.空气；空中；外观	3	aer		
aircraft	ˈeəkrɑːft	n.飞机，飞行器	1	aer		
airline	ˈeəlain	n.航空公司；航线	1	aer		
airplane	ˈeəˌplein	n.飞机	2	aer		
airport	ˈeəpɔːt	n.机场，航空站	2	aer		
alarm	əˈlɑːm	n.惊恐，忧虑；警报	1			
alcohol	ˈælkəhɔl	n.酒精，乙醇	1			
alike	əˈlaik	a.同样的，相同的	3			
alive	əˈlaiv	a.活着的；活跃的	3			
all	ɔːl	a.全部的 prep.全部	3			
allow	əˈlau	vt.允许，准许；任	2			
alloy	ˈælɔi	n.合金；(金属的)成色	1			
almost	ˈɔːlməust	ad.几乎，差不多	3			
alone	əˈləun	a.单独的 ad.单独地	3			
along	əˈlɔŋ	prep.沿着 ad.向前	3			
aloud	əˈlaud	ad.出声地，大声地	2			
alphabet	ˈælfəbit	n.字母表，字母系统	1			
already	ɔːlˈredi	ad.早已，已经	3			
also	ˈɔːlsəu	ad.亦，也；而且，还	3			
alter	ˈɔːltə	vt.改变，变更；改做	1	alter		
alternative	ɔːlˈtəːnətiv	n.替换物；取舍，抉择	1	alter		
although	ɔːlˈðəu	conj.尽管，虽然	2			
altitude	ˈæltitjuːd	n.高，高度；高处	1			
